codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,001,Ushuaia,05653,098051,0,0,21,78,34,42,8,24,24
24,001,Ushuaia,05653,098052,0,0,19,60,16,62,10,17,37
24,001,Ushuaia,05653,098053,0,0,20,78,19,44,9,28,26
24,001,Ushuaia,05653,098054,0,0,24,71,23,63,7,23,29
24,001,Ushuaia,05653,098055,0,0,28,71,18,64,6,20,25
24,001,Ushuaia,05653,098056,0,0,26,71,14,55,5,23,27
24,001,Ushuaia,05653,098057,0,0,15,78,16,72,9,28,24
24,001,Ushuaia,05653,098058,0,0,21,65,19,48,13,23,25
24,001,Ushuaia,05653,098059,0,0,24,71,12,59,8,21,28
24,001,Ushuaia,05653,098060,0,0,24,71,24,49,5,17,38
24,001,Ushuaia,05653,098061,0,0,21,83,21,72,5,20,24
24,001,Ushuaia,05653,098062,0,0,28,81,27,45,13,19,27
24,001,Ushuaia,05653,098063,0,0,19,70,10,78,7,21,25
24,001,Ushuaia,05653,098064,0,0,17,81,21,50,3,27,30
24,001,Ushuaia,05653,098065,0,0,9,27,5,16,0,9,9
24,001,Ushuaia,05654,098066,0,0,28,82,18,51,6,16,30
24,001,Ushuaia,05654,098067,0,0,13,79,21,49,11,16,26
24,001,Ushuaia,05654,098068,0,0,17,85,13,55,7,19,24
24,001,Ushuaia,05654,098069,0,0,16,84,19,48,5,13,24
24,001,Ushuaia,05654,098070,0,0,23,69,14,57,4,18,18
24,001,Ushuaia,05654,098071,0,0,25,75,17,44,5,13,26
24,001,Ushuaia,05654,098072,0,0,23,71,18,52,9,16,34
24,001,Ushuaia,05654,098073,0,0,19,78,18,54,9,17,21
24,001,Ushuaia,05654,098074,0,0,21,77,14,49,7,16,36
24,001,Ushuaia,05654,098075,0,0,16,76,16,67,5,26,28
24,001,Ushuaia,05654,098076,0,0,24,71,13,52,9,15,29
24,001,Ushuaia,05654,098077,0,0,18,66,14,55,4,16,28
24,001,Ushuaia,05654,098078,0,0,24,66,19,67,9,15,23
24,001,Ushuaia,05654,098079,0,0,25,69,20,57,3,10,32
24,001,Ushuaia,05654,098080,0,0,9,61,8,45,5,10,16
24,001,Ushuaia,05655,098081,0,0,20,92,16,50,12,17,26
24,001,Ushuaia,05655,098082,0,0,3,95,17,49,2,16,43
24,001,Ushuaia,05655,098083,0,0,22,85,25,50,7,14,26
24,001,Ushuaia,05655,098084,0,0,27,85,11,38,9,17,31
24,001,Ushuaia,05655,098085,0,0,19,61,24,57,11,16,31
24,001,Ushuaia,05655,098086,0,0,18,72,17,52,14,11,32
24,001,Ushuaia,05655,098087,0,0,0,70,21,50,11,14,30
24,001,Ushuaia,05655,098088,0,0,27,71,15,48,8,14,30
24,001,Ushuaia,05655,098089,0,0,16,87,11,49,3,18,38
24,001,Ushuaia,05655,098090,0,0,22,77,9,53,12,10,36
24,001,Ushuaia,05655,098091,0,0,25,76,17,62,6,14,20
24,001,Ushuaia,05655,098092,0,0,0,79,15,27,6,21,36
24,001,Ushuaia,05655,098093,0,0,2,83,18,52,12,13,34
24,001,Ushuaia,05655,098094,0,0,30,96,23,37,11,14,23
24,001,Ushuaia,05655,098095,0,0,29,82,24,54,9,13,27
24,001,Ushuaia,05655,098096,0,0,29,74,10,42,9,19,29
24,001,Ushuaia,05655,098097,0,0,17,78,16,39,16,16,37
24,001,Ushuaia,05655,098098,0,0,28,74,14,43,7,17,45
24,001,Ushuaia,05655,098099,0,0,5,35,4,25,3,5,14
24,001,Ushuaia,05655,101397,0,0,0,0,0,0,0,0,0
24,001,Ushuaia,05655,101398,0,0,0,0,0,0,0,0,0
24,001,Ushuaia,05656,098100,0,0,18,69,23,70,5,17,21
24,001,Ushuaia,05656,098101,0,0,26,77,25,48,11,11,22
