codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0022,0048,0058,0101,0233,0234,0236,0237,0238,0239,0240,0241
23,Capital                                 ,001,0001 ,0001,373,5,3,5,5,24,4,66,33,16,0,0,26,10,26,24
23,Capital                                 ,001,0001 ,0002,373,5,5,2,2,21,5,73,39,28,0,1,25,12,21,10
23,Capital                                 ,001,0001 ,0003,372,5,4,1,3,28,3,57,25,29,1,1,21,24,27,13
23,Capital                                 ,001,0001 ,0004,372,5,5,2,6,29,5,60,28,26,1,1,22,7,41,14
23,Capital                                 ,001,0001 ,0005,372,8,3,2,5,33,0,61,25,26,0,0,18,12,24,17
23,Capital                                 ,001,0001 ,0006,372,7,5,5,3,25,1,58,17,24,0,1,20,16,27,17
23,Capital                                 ,001,0001 ,0007,372,3,3,3,4,37,0,56,28,34,0,0,22,15,33,19
23,Capital                                 ,001,0001 ,0008,372,5,6,2,2,18,1,50,25,20,0,1,25,10,27,28
23,Capital                                 ,001,0001 ,0009,372,1,4,2,4,20,1,71,27,26,1,1,26,7,32,19
23,Capital                                 ,001,0001 ,0010,372,5,5,4,3,11,1,70,31,29,2,0,22,10,31,15
23,Capital                                 ,001,0001 ,1271,371,5,3,2,3,32,5,49,26,15,0,0,36,8,37,13
23,Capital                                 ,001,0001 ,1272,371,3,4,2,0,29,1,46,32,26,0,0,28,13,34,20
23,Capital                                 ,001,0001 ,1273,371,5,7,5,4,39,1,55,35,30,0,1,35,16,27,18
23,Capital                                 ,001,0001 ,1274,371,3,4,3,4,21,5,68,21,21,0,4,25,9,39,13
23,Capital                                 ,001,0001 ,1275,371,12,8,2,2,26,1,58,33,17,1,0,24,10,24,18
23,Capital                                 ,001,0001 ,1276,370,3,4,2,4,28,2,54,29,18,1,1,29,16,32,14
23,Capital                                 ,001,0001 ,1277,370,6,5,2,3,25,2,59,35,21,0,1,22,8,34,9
23,Capital                                 ,001,0001A,0011,380,2,7,5,6,22,3,71,20,34,1,0,25,12,34,17
23,Capital                                 ,001,0001A,0012,380,5,2,7,1,24,2,66,19,23,0,1,32,11,32,25
23,Capital                                 ,001,0001A,0013,380,2,3,3,1,21,1,69,31,25,0,0,24,21,20,31
23,Capital                                 ,001,0001A,0014,380,4,5,2,5,23,2,71,22,21,0,0,22,14,32,23
23,Capital                                 ,001,0001A,0015,380,5,4,4,3,16,6,75,24,25,0,0,0,26,27,15
23,Capital                                 ,001,0001A,0016,380,4,7,3,0,15,2,63,32,29,0,0,40,13,27,17
23,Capital                                 ,001,0001A,0017,380,1,8,3,4,23,3,64,25,22,1,1,27,16,26,21
23,Capital                                 ,001,0001A,0018,379,1,5,2,2,27,1,63,22,17,0,1,25,14,23,23
