codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0014,0022,0038,0045,0048,0050,0060,0131,0134,0193,0194,0195,0196
23,Capital                                 ,001,0001 ,0001,340,41,0,19,4,1,4,1,16,34,0,82,33,2,0,2,3
23,Capital                                 ,001,0001 ,0002,340,1,0,25,4,0,1,0,12,36,1,81,49,0,3,0,7
23,Capital                                 ,001,0001 ,0003,340,43,2,9,3,2,1,0,18,39,0,91,32,0,0,1,2
23,Capital                                 ,001,0001 ,0004,340,23,2,10,5,3,0,1,14,57,0,83,36,1,0,1,7
23,Capital                                 ,001,0001 ,0005,340,19,3,13,4,2,0,1,18,38,0,67,48,1,0,0,4
23,Capital                                 ,001,0001 ,0006,340,0,3,16,3,3,1,0,11,37,0,68,41,2,0,0,7
23,Capital                                 ,001,0001 ,0007,340,2,2,16,2,3,1,0,19,45,0,71,48,2,0,0,5
23,Capital                                 ,001,0001 ,0008,340,0,0,27,3,0,0,5,22,31,0,57,52,0,0,1,5
23,Capital                                 ,001,0001 ,0009,340,40,2,9,0,1,1,1,14,43,1,68,52,2,0,2,2
23,Capital                                 ,001,0001 ,0010,340,25,1,15,5,3,2,1,15,32,0,81,53,0,0,1,8
23,Capital                                 ,001,0001 ,0011,340,2,4,17,4,2,1,0,11,42,0,73,48,1,0,0,6
23,Capital                                 ,001,0001 ,1515,333,33,1,0,3,0,6,1,24,17,0,70,49,3,0,0,6
23,Capital                                 ,001,0001 ,1516,332,36,1,12,4,0,1,1,20,32,0,85,42,2,0,1,4
23,Capital                                 ,001,0001 ,1517,332,0,0,24,2,0,1,1,19,34,0,69,49,1,0,2,4
23,Capital                                 ,001,0001 ,1518,332,36,5,11,10,2,3,1,19,35,0,62,55,3,2,0,6
23,Capital                                 ,001,0001 ,1519,332,15,1,17,6,2,2,1,24,34,0,84,41,2,1,0,4
23,Capital                                 ,001,0001 ,1520,332,0,0,10,5,0,1,0,33,34,0,76,35,0,1,3,4
23,Capital                                 ,001,0001 ,1521,332,31,1,0,0,0,0,1,14,23,1,70,58,3,0,0,5
23,Capital                                 ,001,0001 ,1522,332,39,5,11,2,3,1,1,20,34,0,72,43,1,1,3,5
23,Capital                                 ,001,0001A,0012,336,0,0,23,1,0,0,3,15,22,0,78,53,2,1,0,3
23,Capital                                 ,001,0001A,0013,336,29,0,16,5,1,1,4,4,32,2,86,41,1,0,0,7
23,Capital                                 ,001,0001A,0014,336,0,0,15,3,2,0,1,23,50,0,72,37,1,0,1,12
23,Capital                                 ,001,0001A,0015,336,0,0,21,4,1,0,1,16,41,0,70,45,2,0,0,5
23,Capital                                 ,001,0001A,0016,336,37,1,16,3,1,4,0,17,32,0,61,56,1,0,0,8
23,Capital                                 ,001,0001A,0017,335,0,0,16,3,0,2,1,23,32,1,79,47,4,0,0,8
23,Capital                                 ,001,0001A,0018,335,4,8,20,4,1,2,1,17,29,1,77,50,0,0,0,4
23,Capital                                 ,001,0001A,0019,335,38,3,16,3,4,2,1,9,25,1,55,50,2,1,1,5
23,Capital                                 ,001,0001A,0020,335,2,4,13,7,1,2,1,22,34,0,7,62,4,0,0,0
23,Capital                                 ,001,0001A,1523,314,40,1,13,5,2,2,1,12,27,2,76,40,3,0,0,4
23,Capital                                 ,001,0001A,1524,314,35,0,8,1,1,1,1,17,25,2,81,40,0,0,0,9
23,Capital                                 ,001,0001A,1525,314,24,4,13,4,1,1,1,12,28,0,76,49,3,0,1,6
23,Capital                                 ,001,0001A,1526,314,24,0,20,4,1,2,0,15,21,0,71,58,1,1,1,5
23,Capital                                 ,001,0001A,1527,314,24,0,19,3,0,1,1,17,23,1,70,45,2,0,0,9
23,Capital                                 ,001,0001A,1528,314,35,0,9,3,1,3,1,15,24,0,72,41,2,1,0,4
23,Capital                                 ,001,0001A,1529,314,31,3,13,4,2,2,0,32,12,0,65,43,0,1,2,5
23,Capital                                 ,001,0002 ,0021,314,34,1,0,9,4,3,0,13,39,0,73,43,0,2,0,4
23,Capital                                 ,001,0002 ,0022,314,22,6,8,3,1,0,0,11,45,1,81,37,0,1,3,5
23,Capital                                 ,001,0002 ,0023,314,0,0,1,3,1,2,0,10,49,1,65,33,0,1,0,5
23,Capital                                 ,001,0002 ,0024,314,37,2,14,9,5,0,1,12,32,0,55,45,0,0,0,2
23,Capital                                 ,001,0002 ,0025,313,2,4,18,2,0,3,1,12,32,0,65,40,0,0,0,3
23,Capital                                 ,001,0002 ,0026,313,0,0,19,4,0,3,0,16,30,1,65,48,0,1,0,0
23,Capital                                 ,001,0002 ,0027,313,38,6,14,8,1,3,0,13,30,1,61,46,1,0,0,5
23,Capital                                 ,001,0002 ,0028,313,1,1,14,6,1,0,2,9,51,0,69,34,2,0,0,7
23,Capital                                 ,001,0002 ,1530,328,5,3,8,3,0,1,1,12,30,1,78,62,0,2,1,2
23,Capital                                 ,001,0002 ,1531,328,39,5,13,2,1,2,2,17,22,0,0,0,0,0,0,5
23,Capital                                 ,001,0002 ,1532,328,27,1,13,5,4,1,1,12,31,0,76,36,0,0,0,2
23,Capital                                 ,001,0002 ,1533,328,1,4,13,2,2,0,1,23,28,0,73,43,1,2,1,2
23,Capital                                 ,001,0002 ,1534,328,37,3,13,8,1,1,1,18,20,0,77,54,1,0,2,5
23,Capital                                 ,001,0002 ,1535,328,41,1,10,7,5,2,3,10,42,0,65,42,1,0,2,2
23,Capital                                 ,001,0002A,0029,326,0,0,0,7,0,1,0,0,39,0,62,53,1,0,5,0
23,Capital                                 ,001,0002A,0030,326,2,0,15,3,4,2,0,19,35,0,67,52,2,1,0,3
23,Capital                                 ,001,0002A,0031,326,0,0,16,0,4,3,1,16,36,0,47,71,1,0,1,4
23,Capital                                 ,001,0002A,0032,326,1,1,9,6,1,1,1,12,33,0,58,57,1,1,0,8
23,Capital                                 ,001,0002A,0033,326,0,0,16,4,1,2,1,13,33,0,68,53,1,0,0,2
23,Capital                                 ,001,0002A,0034,325,2,3,15,7,4,3,4,10,28,1,65,45,0,0,1,8
23,Capital                                 ,001,0002A,0035,325,0,0,10,6,0,1,0,13,39,0,67,43,3,1,1,1
23,Capital                                 ,001,0002A,0036,325,37,1,16,5,2,2,0,7,35,1,57,38,3,1,0,7
23,Capital                                 ,001,0002A,1536,334,3,3,12,9,1,1,1,9,42,1,72,48,0,0,0,4
23,Capital                                 ,001,0002A,1537,333,0,0,17,4,2,0,0,13,23,0,67,63,2,1,0,10
23,Capital                                 ,001,0002A,1538,333,26,2,9,6,2,1,0,11,44,0,85,44,3,0,1,5
23,Capital                                 ,001,0002A,1539,333,21,6,11,8,1,2,0,8,33,1,88,33,2,3,1,9
23,Capital                                 ,001,0002A,1540,333,25,3,11,5,1,3,0,10,36,0,79,56,0,0,0,3
23,Capital                                 ,001,0002A,1541,333,31,2,12,4,1,1,0,10,33,1,75,49,5,1,0,2
23,Capital                                 ,001,0003 ,0037,341,1,0,12,2,3,2,2,15,33,0,73,67,0,1,4,6
23,Capital                                 ,001,0003 ,0038,341,30,0,17,7,1,2,0,9,28,0,89,56,3,0,1,5
23,Capital                                 ,001,0003 ,0039,341,24,1,25,4,2,2,0,10,25,2,79,62,2,0,3,2
23,Capital                                 ,001,0003 ,0040,341,40,2,16,9,0,2,2,17,28,1,79,0,1,0,2,6
23,Capital                                 ,001,0003 ,0041,341,0,0,23,6,3,2,1,11,24,1,77,54,3,0,0,5
23,Capital                                 ,001,0003 ,0042,341,1,3,29,3,0,1,1,6,30,1,66,54,1,0,1,3
23,Capital                                 ,001,0003 ,0043,341,39,2,18,5,1,1,1,14,32,1,68,50,1,1,4,5
23,Capital                                 ,001,0003 ,0044,341,26,3,21,1,2,3,2,6,33,0,77,47,2,0,2,7
23,Capital                                 ,001,0003 ,0045,341,23,0,20,4,2,2,1,19,32,0,83,54,0,0,0,5
23,Capital                                 ,001,0003 ,0046,341,38,1,17,4,0,1,2,15,25,0,60,60,5,1,3,1
23,Capital                                 ,001,0003 ,0047,341,0,0,16,4,3,3,0,15,34,1,63,55,1,0,7,5
23,Capital                                 ,001,0003 ,0048,340,37,0,12,7,2,2,0,6,32,1,75,51,2,0,1,3
23,Capital                                 ,001,0003 ,1542,323,33,7,15,6,1,1,1,12,29,1,77,55,3,0,2,4
23,Capital                                 ,001,0003 ,1543,323,0,0,8,4,2,3,0,11,33,0,90,47,2,1,1,3
23,Capital                                 ,001,0003 ,1544,323,28,3,21,3,3,1,1,10,23,1,72,52,0,0,3,6
23,Capital                                 ,001,0003 ,1545,323,27,2,6,4,3,1,1,12,15,1,87,65,0,1,7,2
23,Capital                                 ,001,0003 ,1546,323,36,1,14,7,2,4,1,11,0,0,60,54,0,1,0,9
23,Capital                                 ,001,0003 ,1547,323,31,2,15,2,0,4,2,16,34,0,72,50,2,1,2,4
23,Capital                                 ,001,0003 ,1548,323,25,2,11,4,2,3,0,17,27,2,69,55,5,1,5,4
23,Capital                                 ,001,0003 ,1549,322,26,3,23,10,0,1,1,13,25,0,75,52,2,0,0,3
23,Capital                                 ,001,0003 ,1550,322,34,3,14,9,2,0,0,3,29,0,79,52,1,0,1,3
23,Capital                                 ,001,0003 ,1551,322,26,3,11,6,1,3,1,19,30,0,74,47,5,0,1,5
23,Capital                                 ,001,0004 ,0049,332,39,1,15,0,4,0,2,7,36,0,63,65,0,2,0,0
23,Capital                                 ,001,0004 ,0050,332,0,0,10,6,4,1,3,10,30,1,67,64,0,0,0,2
23,Capital                                 ,001,0004 ,0051,332,27,1,19,2,2,2,1,8,49,0,64,51,2,0,1,2
23,Capital                                 ,001,0004 ,0052,332,27,6,17,3,3,1,2,18,37,3,67,46,1,3,1,1
23,Capital                                 ,001,0004 ,0053,332,1,4,21,4,2,1,1,5,32,0,71,72,21,1,0,4
23,Capital                                 ,001,0004 ,0054,332,0,0,17,4,2,0,0,7,0,0,0,69,1,1,2,7
23,Capital                                 ,001,0004 ,0055,331,30,2,17,2,5,2,1,11,35,1,58,67,0,1,0,7
23,Capital                                 ,001,0004 ,0056,331,28,0,17,3,1,1,2,8,40,1,53,65,1,1,0,8
23,Capital                                 ,001,0004 ,0057,331,0,0,13,7,1,3,1,13,35,2,64,55,2,2,1,6
23,Capital                                 ,001,0004 ,0058,331,35,0,10,4,1,1,1,15,37,1,70,65,0,1,0,3
23,Capital                                 ,001,0004 ,0059,331,21,4,8,8,5,2,2,7,53,1,65,63,0,1,0,2
23,Capital                                 ,001,0004 ,1552,321,20,3,7,5,3,4,1,9,49,1,69,55,0,0,1,5
23,Capital                                 ,001,0004 ,1553,321,21,2,18,3,2,0,0,10,25,1,82,67,0,1,0,8
23,Capital                                 ,001,0004 ,1554,321,2,6,16,3,0,0,0,10,22,1,72,51,1,0,0,9
23,Capital                                 ,001,0004 ,1555,321,1,0,7,2,3,4,3,11,23,1,77,55,0,0,2,2
