codprov,coddepto,depto,circuito,mesa,electores,blancos,00045,00037,00050,00036,00024
23,001,Capital,00001,000001,336,23,6,36,172,12,16
23,001,Capital,00001,000010,333,6,9,45,180,20,13
23,001,Capital,00001,000011,339,18,5,52,150,11,21
23,001,Capital,00001,000012,334,9,4,31,198,13,13
23,001,Capital,00001,000013,334,3,9,48,170,14,20
23,001,Capital,00001,000014,339,15,11,38,182,18,14
23,001,Capital,00001,000015,331,8,7,47,155,18,20
23,001,Capital,00001,000016,331,8,11,52,165,8,10
23,001,Capital,00001,000017,337,10,9,42,159,14,22
23,001,Capital,00001,000018,334,7,5,46,164,19,16
23,001,Capital,00001,000019,338,13,6,42,179,10,13
23,001,Capital,00001,000002,335,8,6,49,169,14,19
23,001,Capital,00001,000003,335,16,5,29,182,16,17
23,001,Capital,00001,000004,333,13,7,41,163,21,15
23,001,Capital,00001,000005,333,14,2,42,171,27,13
23,001,Capital,00001,000006,334,10,7,39,182,9,11
23,001,Capital,00001,000007,337,12,9,48,170,20,12
23,001,Capital,00001,000008,333,13,10,53,171,9,12
23,001,Capital,00001,000009,333,7,2,43,168,23,12
23,001,Capital,0001A,000020,334,16,8,51,148,11,22
23,001,Capital,0001A,000021,331,19,10,34,172,16,12
23,001,Capital,0001A,000022,331,13,9,41,184,9,11
23,001,Capital,0001A,000023,336,12,8,58,162,9,17
23,001,Capital,0001A,000024,334,9,9,49,171,16,11
23,001,Capital,0001A,000025,333,17,10,37,183,13,10
23,001,Capital,0001A,000026,330,22,14,44,153,20,12
23,001,Capital,0001A,000027,331,21,10,38,167,7,8
23,001,Capital,0001A,000028,331,21,8,36,188,10,14
23,001,Capital,0001A,000029,330,18,9,56,166,18,16
23,001,Capital,0001A,000030,336,8,5,54,181,16,7
23,001,Capital,0001A,000031,332,10,10,44,167,13,14
23,001,Capital,0001A,000032,333,12,9,48,166,13,14
23,001,Capital,0001A,000033,328,9,9,58,149,9,26
23,001,Capital,0001A,000034,332,16,6,48,142,14,24
23,001,Capital,0001A,000035,332,13,10,38,182,12,10
23,001,Capital,00002,000036,337,17,7,38,179,13,15
23,001,Capital,00002,000037,336,7,8,52,159,9,15
23,001,Capital,00002,000038,336,5,9,39,174,13,15
23,001,Capital,00002,000039,336,12,7,46,170,16,13
23,001,Capital,00002,000040,334,14,12,54,152,18,9
23,001,Capital,00002,000041,338,10,13,58,162,8,10
23,001,Capital,00002,000042,336,13,12,56,156,13,13
23,001,Capital,00002,000043,336,12,12,47,161,21,13
