codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0060,0136,0184,0185,0190,0192,0194,0501,0510,0517
23,Capital,001,0001 ,0001,334,31,3,81,15,8,0,20,8,4,0,58,18,11
23,Capital,001,0001 ,0002,334,20,5,102,11,1,0,11,16,6,2,42,36,8
23,Capital,001,0001 ,0003,334,18,6,97,15,3,0,26,8,7,3,40,28,4
23,Capital,001,0001 ,0004,334,56,5,77,9,1,0,23,0,3,3,51,28,7
23,Capital,001,0001 ,0005,334,29,1,81,19,4,0,16,16,7,3,38,35,4
23,Capital,001,0001 ,0006,334,18,1,102,18,2,0,18,8,2,0,18,40,9
23,Capital,001,0001 ,0007,334,30,1,94,18,2,0,15,9,2,1,34,41,13
23,Capital,001,0001 ,0008,334,25,3,81,18,2,0,14,12,8,3,45,30,12
23,Capital,001,0001 ,0009,334,24,4,75,15,1,0,19,10,8,3,48,31,10
23,Capital,001,0001 ,0010,334,0,0,86,13,3,0,12,8,7,3,48,37,7
23,Capital,001,0001 ,0011,334,23,4,74,19,5,0,19,11,8,2,43,31,3
23,Capital,001,0001 ,0012,334,9,6,90,22,5,0,28,10,11,0,39,33,3
23,Capital,001,0001 ,0013,334,28,0,79,23,3,0,24,19,2,0,43,28,10
23,Capital,001,0001 ,0014,334,21,0,94,20,4,0,23,24,8,1,39,17,5
23,Capital,001,0001 ,0015,334,22,6,84,12,3,0,22,14,3,2,44,29,6
23,Capital,001,0001 ,0016,334,19,5,69,17,3,0,27,12,7,3,50,36,12
23,Capital,001,0001 ,0017,334,19,5,69,15,5,0,18,11,6,1,38,28,7
23,Capital,001,0001 ,0018,333,2,0,92,16,2,0,16,12,2,3,49,23,11
23,Capital,001,0001 ,0019,333,1,2,88,14,2,0,24,13,5,1,46,30,8
23,Capital,001,0001A,0020,348,22,2,96,18,0,0,20,12,2,3,62,32,16
23,Capital,001,0001A,0021,348,21,2,90,15,5,0,20,11,4,4,44,31,9
23,Capital,001,0001A,0022,348,17,3,99,20,2,0,21,12,12,5,51,34,5
23,Capital,001,0001A,0023,348,0,0,99,28,1,0,18,9,7,6,44,25,10
23,Capital,001,0001A,0024,347,23,4,94,18,2,0,25,14,7,1,47,30,11
23,Capital,001,0001A,0025,347,31,20,85,13,3,0,18,0,3,5,46,33,9
23,Capital,001,0001A,0026,347,23,7,82,17,3,0,23,8,8,2,55,20,10
23,Capital,001,0001A,0027,347,17,2,83,21,4,0,22,9,5,1,58,31,12
23,Capital,001,0001A,0028,347,25,2,99,13,4,0,17,13,4,4,39,41,10
23,Capital,001,0001A,0029,347,21,6,94,18,3,0,21,12,7,3,42,42,12
23,Capital,001,0001A,0030,347,24,4,82,11,4,0,28,15,6,2,44,31,10
23,Capital,001,0001A,0031,347,20,8,95,16,3,0,17,16,4,3,50,16,6
23,Capital,001,0001A,0032,347,19,2,72,14,9,0,16,15,4,4,48,36,9
23,Capital,001,0001A,0033,347,24,10,69,22,5,0,23,11,7,2,54,24,14
23,Capital,001,0001A,0034,347,23,1,87,20,3,0,25,16,6,1,47,29,6
23,Capital,001,0002 ,0035,326,21,0,105,14,2,0,13,9,7,1,45,22,8
23,Capital,001,0002 ,0036,326,23,2,69,14,3,0,21,17,5,0,51,26,8
23,Capital,001,0002 ,0037,326,23,5,95,18,5,0,16,10,5,2,37,21,8
23,Capital,001,0002 ,0038,325,21,7,104,20,4,0,14,11,4,4,25,27,8
23,Capital,001,0002 ,0039,325,25,1,80,14,3,0,23,0,2,5,39,32,9
23,Capital,001,0002 ,0040,325,0,5,74,10,2,0,16,11,6,3,49,28,17
23,Capital,001,0002 ,0041,325,19,9,68,11,5,0,26,15,7,2,51,25,11
23,Capital,001,0002 ,0042,325,24,4,79,18,2,0,22,7,5,6,49,24,3
23,Capital,001,0002 ,0043,325,13,7,78,18,1,0,25,13,4,5,41,28,12
23,Capital,001,0002 ,0044,325,0,0,84,17,5,0,18,19,6,1,48,42,5
23,Capital,001,0002 ,0045,325,23,4,81,10,6,0,21,9,1,3,51,27,8
23,Capital,001,0002 ,0046,325,24,7,79,14,4,0,16,17,5,7,42,19,14
23,Capital,001,0002 ,0047,325,28,4,77,12,3,0,15,7,6,2,33,34,10
23,Capital,001,0002A,0048,340,16,7,80,0,4,0,23,13,4,4,49,30,15
23,Capital,001,0002A,0049,340,13,3,101,14,1,0,10,9,12,0,48,40,16
23,Capital,001,0002A,0050,340,3,3,79,16,1,0,20,11,7,5,43,39,21
23,Capital,001,0002A,0051,340,21,6,92,17,4,0,21,13,11,2,49,23,10
23,Capital,001,0002A,0052,340,17,1,65,18,4,0,20,14,5,1,62,34,13
23,Capital,001,0002A,0053,340,0,0,66,17,6,0,12,13,4,1,55,37,10
23,Capital,001,0002A,0054,340,23,6,75,20,2,0,12,9,9,2,52,33,15
23,Capital,001,0002A,0055,339,20,4,82,14,5,0,16,10,7,9,37,35,10
23,Capital,001,0002A,0056,339,31,4,95,13,10,0,21,8,2,1,53,21,13
23,Capital,001,0002A,0057,339,21,4,96,13,1,0,21,10,2,3,52,33,9
23,Capital,001,0002A,0058,339,23,6,82,14,3,0,21,15,21,4,46,26,12
23,Capital,001,0002A,0059,339,13,2,81,24,6,0,15,6,5,4,54,25,6
23,Capital,001,0002A,0060,339,31,3,76,8,6,0,14,12,4,5,46,30,13
23,Capital,001,0003 ,0061,348,18,2,75,13,7,0,23,17,6,5,69,31,14
23,Capital,001,0003 ,0062,348,17,4,89,20,3,0,24,13,7,2,63,24,12
23,Capital,001,0003 ,0063,348,20,4,85,18,4,0,16,5,11,2,49,40,21
23,Capital,001,0003 ,0064,348,27,4,73,19,5,0,20,9,9,0,44,43,19
23,Capital,001,0003 ,0065,348,0,0,92,15,4,0,12,15,4,3,44,34,13
23,Capital,001,0003 ,0066,347,1,3,98,15,4,0,23,12,2,0,53,30,13
23,Capital,001,0003 ,0067,347,1,4,95,12,2,0,14,9,9,4,60,31,9
23,Capital,001,0003 ,0068,347,2,9,82,22,3,0,21,6,6,2,53,28,10
23,Capital,001,0003 ,0069,347,19,4,75,0,6,0,16,14,8,3,55,41,11
23,Capital,001,0003 ,0070,347,0,1,80,0,5,0,21,0,6,2,53,22,4
23,Capital,001,0003 ,0071,347,29,4,91,14,4,0,11,10,5,4,44,33,11
23,Capital,001,0003 ,0072,347,19,3,104,11,7,0,26,15,3,5,46,24,9
23,Capital,001,0003 ,0073,347,25,8,96,17,4,0,18,9,11,3,40,33,11
23,Capital,001,0003 ,0074,347,21,1,98,19,4,0,22,10,2,1,45,30,6
