codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0022,0540,0045,0112,0119,0124,0130,0160,0501,0527,0536,0563
23,Capital,001,0001 ,0001,341,6,8,1,9,1,540,0,17,7,2,17,1,38,22,106,11
23,Capital,001,0001 ,0002,341,4,2,2,0,5,540,0,9,6,3,9,1,42,25,135,8
23,Capital,001,0001 ,0003,341,3,2,0,3,4,540,0,10,2,1,12,1,37,30,131,8
23,Capital,001,0001 ,0004,341,6,4,1,6,5,540,2,22,1,2,13,0,40,27,104,5
23,Capital,001,0001 ,0005,341,1,6,1,2,5,540,0,9,4,0,14,0,49,19,122,6
23,Capital,001,0001 ,0006,341,3,4,0,4,6,540,0,18,3,3,19,1,45,29,103,10
23,Capital,001,0001 ,0007,341,4,3,3,0,7,540,0,18,1,1,17,0,35,21,115,5
23,Capital,001,0001 ,0008,341,7,5,2,7,0,540,2,11,3,2,22,0,37,17,129,7
23,Capital,001,0001 ,0009,341,0,3,1,3,1,540,2,0,3,1,17,0,42,17,123,7
23,Capital,001,0001 ,0010,340,1,6,0,5,4,540,0,19,4,5,18,0,38,28,101,10
23,Capital,001,0001 ,0011,340,5,2,3,4,3,540,0,17,5,2,18,0,42,24,107,10
23,Capital,001,0001 ,1570,328,1,3,1,4,3,540,0,25,1,3,14,2,45,37,93,9
23,Capital,001,0001 ,1571,328,4,1,0,2,1,540,2,14,2,2,12,4,46,29,111,1
23,Capital,001,0001 ,1572,328,5,2,3,1,4,540,1,14,2,5,23,0,28,26,127,2
23,Capital,001,0001 ,1573,328,5,4,1,10,2,540,1,13,1,5,11,1,39,34,103,8
23,Capital,001,0001 ,1574,328,2,5,0,4,4,540,0,14,2,1,16,3,42,34,112,2
23,Capital,001,0001 ,1575,328,6,4,1,7,1,540,0,19,3,2,24,0,30,31,103,11
23,Capital,001,0001 ,1576,328,3,3,0,2,6,540,2,17,8,3,12,0,50,50,94,8
23,Capital,001,0001 ,1577,328,5,6,2,4,1,540,0,25,1,0,6,1,39,39,97,9
23,Capital,001,0001A,0012,336,3,0,0,8,2,540,0,19,1,1,19,0,44,19,114,8
23,Capital,001,0001A,0013,336,1,1,1,11,2,540,3,18,6,3,22,1,35,17,105,6
23,Capital,001,0001A,0014,336,3,1,1,6,3,540,1,16,5,3,20,0,43,19,126,11
23,Capital,001,0001A,0015,336,5,5,0,5,0,540,2,4,3,3,18,0,41,25,106,13
23,Capital,001,0001A,0016,336,4,4,1,7,3,540,0,22,4,2,21,1,41,34,99,11
23,Capital,001,0001A,0017,336,2,7,0,5,3,540,0,14,3,3,18,0,33,30,121,7
23,Capital,001,0001A,0018,335,4,3,2,1,3,540,0,22,7,1,23,0,26,28,114,6
23,Capital,001,0001A,0019,335,3,6,3,3,5,540,1,11,2,3,14,1,35,25,100,6
23,Capital,001,0001A,0020,335,1,12,3,14,0,540,1,19,4,2,20,1,39,22,97,9
23,Capital,001,0001A,1578,317,4,8,1,7,0,540,0,23,4,7,16,2,32,32,103,7
23,Capital,001,0001A,1579,317,5,4,1,5,3,540,3,18,3,3,18,0,35,30,108,5
23,Capital,001,0001A,1580,316,5,4,1,3,1,540,2,11,3,5,14,1,47,22,97,7
23,Capital,001,0001A,1581,316,0,2,1,6,4,540,0,18,4,3,12,0,41,34,95,8
23,Capital,001,0001A,1582,316,7,3,0,5,8,540,2,17,3,0,11,1,36,30,101,5
23,Capital,001,0001A,1583,316,5,4,2,1,1,540,2,17,6,2,13,2,36,22,92,9
23,Capital,001,0001A,1584,316,1,5,1,0,4,540,0,12,5,6,10,2,36,35,97,8
23,Capital,001,0002 ,0021,308,2,0,4,2,3,540,0,10,4,1,23,2,35,20,100,6
23,Capital,001,0002 ,0022,307,1,4,0,4,3,540,0,19,3,1,14,1,22,16,112,10
23,Capital,001,0002 ,0023,307,1,6,1,2,2,540,0,11,1,2,25,1,29,10,110,9
23,Capital,001,0002 ,0024,307,3,4,0,4,5,540,1,9,3,6,23,1,38,23,90,7
23,Capital,001,0002 ,0025,307,1,3,3,1,5,540,0,19,1,4,15,1,31,19,101,8
23,Capital,001,0002 ,0026,307,1,6,0,2,2,540,0,18,2,3,22,0,40,28,93,10
23,Capital,001,0002 ,0027,307,1,10,0,3,1,540,1,10,7,4,20,0,46,31,88,8
23,Capital,001,0002 ,0028,307,1,3,2,2,2,540,0,19,2,4,13,2,32,17,107,6
23,Capital,001,0002 ,1585,327,4,5,0,3,3,540,1,12,3,1,23,0,51,27,98,4
23,Capital,001,0002 ,1586,327,8,4,0,2,0,540,0,21,0,1,25,0,34,28,97,2
23,Capital,001,0002 ,1587,327,6,4,0,7,5,540,0,15,2,6,18,0,41,30,84,6
