vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0106,01,Aza. Unión Republicana (Unid.Rep-U.Cris.Dem.-
0108,01,Aza. Encuentro Amplio - ALBA                 
0109,01,Alianza PTS - MAS                            
0110,01,Movimiento Federal de Centro                 
0112,01,Autodeterminación y Libertad                 
0113,01,De la Generación Intermedia                  
0114,01,Unión por Todos                              
0120,01,Partido de las Asambleas del Pueblo          
0121,01,Tercer Milenio                               
0122,01,Partido de la Esperanza Porteña              
0123,01,Red por Buenos Aires                         
0124,01,Poder Autónomo                               
0142,01,Acción Ciudadana                             
0143,01,Jubilados en Acción                          
0144,01,De la Ciudad                                 
0145,01,Política Abierta Para la Integridad Social   
0150,01,Espacio Abierto                              
0181,01,Alianza Frente Popular                       
0003,01,Unión Cívica Radical                         
0005,01,Partido Demócrata Cristiano                  
0014,01,Partido Obrero                               
0022,01,Partido Humanista                            
0030,01,Partido Socialista Auténtico                 
0033,01,Nacionalista Constitucional - UNIR           
0038,01,Movimiento Socialista de los Trabajadores    
0047,01,Afirmación Para Una República Igualitaria    
0050,01,Partido Socialista                           
0101,01,Aza. Frente para la Victoria                 
0102,01,Alianza Propuesta Republicana                
0002,02,Justicialista                                
0003,02,Unión Cívica Radical                         
0005,02,Partido Demócrata Cristiano                  
0014,02,Partido Obrero                               
0022,02,Partido Humanista                            
0030,02,Partido Socialista Auténtico                 
0038,02,Movimiento Socialista de los Trabajadores    
0047,02,Afirmación Para Una República Igualitaria    
0051,02,Partido Popular de la Reconstrucción         
0101,02,Aza. Frente para la Victoria                 
0102,02,Alianza Propuesta Republicana                
0104,02,Alianza Encuentro Amplio                     
0126,02,Aza. Confederación Vecinal                   
0127,02,Alianza Frente Popular Auténtico             
0133,02,Partido Nuevo PANU                           
0135,02,Convergencia Socialista                      
0152,02,Unidad Federalista (PAUFE)                   
0153,02,Movimiento Vecinalista Provincial            
0181,02,Alianza Frente Popular                       
0298,02,Mov.Indep.de Jubilados y Desocupados         
0299,02,P.para la Acc.Solid.Indep.Bonaerense         
0311,02,Pdo. Convocatoria de Integ. Ciudadana        
0312,02,Partido de Renovación Federal                
0313,02,Alianza MAS-PTS                              
0315,02,Alianza Frente Unión Popular                 
0014,03,Partido Obrero                               
0022,03,Partido Humanista                            
0101,03,Aza. Frente para la Victoria                 
0103,03,Aza. Frente Justicialista                    
0111,03,Partido Comunista                            
0200,03,Alianza Frente Cívico y Social               
0001,04,Movimiento de Integración y Desarrollo       
0014,04,Partido Obrero                               
0022,04,Partido Humanista                            
0045,04,de los Trabajadores Socialista               
0048,04,Recrear para el Crecimiento                  
0145,04,Política Abierta Para la Integridad Social   
0161,04,Alianza Izquierda Unida                      
