parDenominacion,vot_parCodigo,vot_proCodigoProvincia
ACCION CHAQUENA,00004,06
ALTERNATIVA FEDERAL,00013,21
ALTERNATIVA RENOVADORA FEDERAL,00014,06
AUTODETERMINACION Y LIBERTAD,00016,01
CAMBIA MENDOZA,00019,13
CHUBUT AL FRENTE,00020,07
CIUDADANOS A GOBERNAR,00021,05
COMPROMISO FEDERAL,00022,12
CONSENSO FEDERAL,00024,01
CONSENSO FEDERAL,00024,02
CONSENSO FEDERAL,00024,03
CONSENSO FEDERAL,00024,04
CONSENSO FEDERAL,00024,05
CONSENSO FEDERAL,00024,06
CONSENSO FEDERAL,00024,09
CONSENSO FEDERAL,00024,10
CONSENSO FEDERAL,00024,15
CONSENSO FEDERAL,00024,18
CONSENSO FEDERAL,00024,19
CONSENSO FEDERAL,00024,21
CONSENSO FEDERAL,00024,23
DEMOCRATA CRISTIANO,00028,01
EL MOVIMIENTO,00029,01
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,00031,05
ENCUENTRO VECINAL CORDOBA,00032,04
FRENTE AMPLIO FORMOSENO JUNTOS POR EL CAMBIO,00034,09
FRENTE CIVICO POR SANTIAGO,00035,22
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,02
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,04
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,07
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,16
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,17
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,19
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,20
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,21
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,23
FRENTE DE TODOS,00037,01
FRENTE DE TODOS,00037,02
FRENTE DE TODOS,00037,03
FRENTE DE TODOS,00037,04
FRENTE DE TODOS,00037,05
FRENTE DE TODOS,00037,06
FRENTE DE TODOS,00037,07
FRENTE DE TODOS,00037,08
FRENTE DE TODOS,00037,09
FRENTE DE TODOS,00037,10
FRENTE DE TODOS,00037,11
FRENTE DE TODOS,00037,12
FRENTE DE TODOS,00037,13
FRENTE DE TODOS,00037,14
FRENTE DE TODOS,00037,15
FRENTE DE TODOS,00037,16
FRENTE DE TODOS,00037,17
FRENTE DE TODOS,00037,18
FRENTE DE TODOS,00037,19
FRENTE DE TODOS,00037,20
FRENTE DE TODOS,00037,21
FRENTE DE TODOS,00037,22
FRENTE DE TODOS,00037,23
FRENTE DE TODOS,00037,24
FRENTE DESPERTAR,00038,04
FRENTE NOS,00039,21
FRENTE PATRIOTA,00040,02
FRENTE RENOVADOR AUTENTICO,00041,01
FRENTE RENOVADOR AUTENTICO,00041,20
FRENTE RENOVADOR DE LA CONCORDIA,00042,14
FRENTE SOMOS CATAMARCA,00043,03
FRENTE UNIDOS POR LA GENTE,00044,03
FUERZA REPUBLICANA,00045,23
GEN,00047,19
GEN,00047,24
HACEMOS POR CORDOBA,00048,04
JUNTOS POR EL CAMBIO,00050,01
JUNTOS POR EL CAMBIO,00050,02
JUNTOS POR EL CAMBIO,00050,03
JUNTOS POR EL CAMBIO,00050,04
JUNTOS POR EL CAMBIO,00050,06
JUNTOS POR EL CAMBIO,00050,08
JUNTOS POR EL CAMBIO,00050,10
JUNTOS POR EL CAMBIO,00050,11
JUNTOS POR EL CAMBIO,00050,14
JUNTOS POR EL CAMBIO,00050,15
JUNTOS POR EL CAMBIO,00050,16
JUNTOS POR EL CAMBIO,00050,17
JUNTOS POR EL CAMBIO,00050,18
JUNTOS POR EL CAMBIO,00050,19
JUNTOS POR EL CAMBIO,00050,20
JUNTOS POR EL CAMBIO,00050,21
JUNTOS POR EL CAMBIO,00050,22
JUNTOS POR EL CAMBIO,00050,23
JUNTOS POR EL CAMBIO CHUBUT,00051,07
