vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0013,01,MOVIMIENTO AL SOCIALISMO                                                                            
0038,01,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0072,01,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         
0076,01,DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             
0186,01,AUTODETERMINACION Y LIBERTAD                                                                        
0302,01,BANDERA VECINAL                                                                                     
0333,01,FUERZA ORG. RENOV. DEMOCRATICA                                                                      
0501,01,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0502,01,ALIANZA CAMBIEMOS                                                                                   
0503,01,ALIANZA COMPROMISO FEDERAL                                                                          
0504,01,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0506,01,ALIANZA PROGRESISTAS                                                                                
0507,01,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            
0013,02,MOVIMIENTO AL SOCIALISMO                                                                            
0038,02,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0131,02,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,02,ALIANZA PROGRESISTAS                                                                                
0133,02,ALIANZA COMPROMISO FEDERAL                                                                          
0135,02,ALIANZA CAMBIEMOS                                                                                   
0136,02,ALIANZA FRENTE POPULAR                                                                              
0137,02,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,02,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0180,02,DEL CAMPO POPULAR                                                                                   
0268,02,MOV. AMPLIO DE TRAB. Y JUBILADOS-MATRAJU                                                            
0298,02,TODOS POR BUENOS AIRES                                                                              
0301,02,PATRIA GRANDE                                                                                       
0302,02,BANDERA VECINAL                                                                                     
0038,03,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0131,03,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0161,03,OBRERO                                                                                              
0521,03,ALIANZA FRENTE AMPLIO PODEMOS                                                                       
0524,03,ALIANZA FRENTE CIVICO Y SOCIAL                                                                      
0528,03,ALIANZA FRENTE TERCERA POSICION                                                                     
0013,04,MOVIMIENTO AL SOCIALISMO                                                                            
0038,04,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0063,04,ES POSIBLE                                                                                          
0065,04,UNION CELESTE Y BLANCO                                                                              
0131,04,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,04,ALIANZA PROGRESISTAS                                                                                
0135,04,ALIANZA CAMBIEMOS                                                                                   
0137,04,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0510,04,ALIANZA UNION POR CORDOBA                                                                           
0063,05,ES POSIBLE                                                                                          
0072,05,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         
0131,05,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,05,ALIANZA PROGRESISTAS                                                                                
0134,05,MST - NUEVA IZQUIERDA                                                                               
0138,05,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0519,05,ALIANZA ENCUENTRO POR CORRIENTES                                                                    
0060,06,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
0071,06,DEL OBRERO                                                                                          
0189,06,PARTIDO CIUDADANOS A GOBERNAR                                                                       
0190,06,MOV.POL. SOCIAL Y CULTURAL PROYECTO SUR                                                             
0501,06,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0502,06,ALIANZA CAMBIEMOS                                                                                   
0506,06,ALIANZA PROGRESISTAS                                                                                
0507,06,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            
0038,07,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0060,07,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
0074,07,PARTIDO DEL TRABAJO Y DEL PUEBLO                                                                    
0152,07,MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              
0157,07,DE ACCION CHUBUTENSE                                                                                
0501,07,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0530,07,ALIANZA CAMBIEMOS CHUBUT                                                                            
0531,07,ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             
0050,08,SOCIALISTA                                                                                          
0068,08,NUEVA IZQUIERDA                                                                                     
0069,08,GEN                                                                                                 
0501,08,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0502,08,ALIANZA CAMBIEMOS                                                                                   
0507,08,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            
0060,09,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
0071,09,DEL OBRERO                                                                                          
0212,09,PRINCIPIOS Y CONVICCION                                                                             
0501,09,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0520,09,ALIANZA FRENTE AMPLIO FORMOSEÑO                                                                     
0023,10,UNION POPULAR                                                                                       
0038,10,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0072,10,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         
0131,10,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0137,10,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0179,10,FRENTE CAMBIA JUJUY                                                                                 
0208,10,POR UN PUEBLO UNIDO                                                                                 
0030,11,SOCIALISTA AUTENTICO                                                                                
0131,11,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,11,ALIANZA PROGRESISTAS                                                                                
0135,11,ALIANZA CAMBIEMOS                                                                                   
0137,11,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,11,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0012,12,COMUNISTA                                                                                           
0013,12,MOVIMIENTO AL SOCIALISMO                                                                            
0063,12,ES POSIBLE                                                                                          
0068,12,NUEVA IZQUIERDA                                                                                     
0501,12,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0504,12,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0522,12,ALIANZA FRENTE CAMBIEMOS                                                                            
0038,13,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0063,13,ES POSIBLE                                                                                          
0501,13,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0504,13,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0506,13,ALIANZA PROGRESISTAS                                                                                
0514,13,ALIANZA CAMBIEMOS MENDOZA                                                                           
0527,13,ALIANZA FRENTE RENOVADOR FEDERAL POR LA ESPERANZA                                                   
0003,14,UNION CIVICA RADICAL                                                                                
0050,14,SOCIALISTA                                                                                          
0060,14,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
0071,14,DEL OBRERO                                                                                          
0072,14,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         
0165,14,NUEVO OCTUBRE                                                                                       
0169,14,PROYECTO POPULAR                                                                                    
0501,14,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0522,14,ALIANZA FRENTE CAMBIEMOS                                                                            
0529,14,ALIANZA FRENTE UNIDOS                                                                               
0013,15,MOVIMIENTO AL SOCIALISMO                                                                            
0131,15,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,15,ALIANZA PROGRESISTAS                                                                                
0134,15,MST - NUEVA IZQUIERDA                                                                               
0135,15,ALIANZA CAMBIEMOS                                                                                   
0136,15,ALIANZA FRENTE POPULAR                                                                              
0137,15,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,15,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0151,15,MOVIMIENTO POPULAR NEUQUINO                                                                         
0013,16,MOVIMIENTO AL SOCIALISMO                                                                            
0038,16,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0050,16,SOCIALISTA                                                                                          
0161,16,OBRERO                                                                                              
0501,16,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0523,16,ALIANZA CAMBIEMOS RIO NEGRO                                                                         
0060,17,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
0070,17,DE TRABAJADORES POR EL SOCIALISMO                                                                   
0071,17,DEL OBRERO                                                                                          
0131,17,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,17,ALIANZA PROGRESISTAS                                                                                
0134,17,MST - NUEVA IZQUIERDA                                                                               
0135,17,ALIANZA CAMBIEMOS                                                                                   
0136,17,ALIANZA FRENTE POPULAR                                                                              
0138,17,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0061,18,IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 
0068,18,NUEVA IZQUIERDA                                                                                     
0153,18,CRUZADA RENOVADORA                                                                                  
