vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0131,01,FRENTE PARA LA VICTORIA                                                                             
0135,01,CAMBIEMOS                                                                                           
0131,02,FRENTE PARA LA VICTORIA                                                                             
0135,02,CAMBIEMOS                                                                                           
0131,03,FRENTE PARA LA VICTORIA                                                                             
0135,03,CAMBIEMOS                                                                                           
0131,04,FRENTE PARA LA VICTORIA                                                                             
0135,04,CAMBIEMOS                                                                                           
0131,05,FRENTE PARA LA VICTORIA                                                                             
0135,05,CAMBIEMOS                                                                                           
0131,06,FRENTE PARA LA VICTORIA                                                                             
0135,06,CAMBIEMOS                                                                                           
0131,07,FRENTE PARA LA VICTORIA                                                                             
0135,07,CAMBIEMOS                                                                                           
0131,08,FRENTE PARA LA VICTORIA                                                                             
0135,08,CAMBIEMOS                                                                                           
0131,09,FRENTE PARA LA VICTORIA                                                                             
0135,09,CAMBIEMOS                                                                                           
0131,10,FRENTE PARA LA VICTORIA                                                                             
0135,10,CAMBIEMOS                                                                                           
0131,11,FRENTE PARA LA VICTORIA                                                                             
0135,11,CAMBIEMOS                                                                                           
0131,12,FRENTE PARA LA VICTORIA                                                                             
0135,12,CAMBIEMOS                                                                                           
0131,13,FRENTE PARA LA VICTORIA                                                                             
0135,13,CAMBIEMOS                                                                                           
0131,14,FRENTE PARA LA VICTORIA                                                                             
0135,14,CAMBIEMOS                                                                                           
0131,15,FRENTE PARA LA VICTORIA                                                                             
0135,15,CAMBIEMOS                                                                                           
0131,16,FRENTE PARA LA VICTORIA                                                                             
0135,16,CAMBIEMOS                                                                                           
0131,17,FRENTE PARA LA VICTORIA                                                                             
0135,17,CAMBIEMOS                                                                                           
0131,18,FRENTE PARA LA VICTORIA                                                                             
0135,18,CAMBIEMOS                                                                                           
0131,19,FRENTE PARA LA VICTORIA                                                                             
0135,19,CAMBIEMOS                                                                                           
0131,20,FRENTE PARA LA VICTORIA                                                                             
0135,20,CAMBIEMOS                                                                                           
0131,21,FRENTE PARA LA VICTORIA                                                                             
0135,21,CAMBIEMOS                                                                                           
0131,22,FRENTE PARA LA VICTORIA                                                                             
0135,22,CAMBIEMOS                                                                                           
0131,23,FRENTE PARA LA VICTORIA                                                                             
0135,23,CAMBIEMOS                                                                                           
0131,24,FRENTE PARA LA VICTORIA                                                                             
0135,24,CAMBIEMOS                                                                                           
