vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0131,01,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,01,ALIANZA PROGRESISTAS                                                                                
0133,01,ALIANZA COMPROMISO FEDERAL                                                                          
0135,01,ALIANZA CAMBIEMOS                                                                                   
0137,01,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,01,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,02,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,02,ALIANZA PROGRESISTAS                                                                                
0133,02,ALIANZA COMPROMISO FEDERAL                                                                          
0135,02,ALIANZA CAMBIEMOS                                                                                   
0137,02,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,02,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,03,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,03,ALIANZA PROGRESISTAS                                                                                
0133,03,ALIANZA COMPROMISO FEDERAL                                                                          
0135,03,ALIANZA CAMBIEMOS                                                                                   
0137,03,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,03,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,04,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,04,ALIANZA PROGRESISTAS                                                                                
0133,04,ALIANZA COMPROMISO FEDERAL                                                                          
0135,04,ALIANZA CAMBIEMOS                                                                                   
0137,04,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,04,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,05,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,05,ALIANZA PROGRESISTAS                                                                                
0133,05,ALIANZA COMPROMISO FEDERAL                                                                          
0135,05,ALIANZA CAMBIEMOS                                                                                   
0137,05,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,05,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,06,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,06,ALIANZA PROGRESISTAS                                                                                
0133,06,ALIANZA COMPROMISO FEDERAL                                                                          
0135,06,ALIANZA CAMBIEMOS                                                                                   
0137,06,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,06,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,07,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,07,ALIANZA PROGRESISTAS                                                                                
0133,07,ALIANZA COMPROMISO FEDERAL                                                                          
0135,07,ALIANZA CAMBIEMOS                                                                                   
0137,07,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,07,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,08,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,08,ALIANZA PROGRESISTAS                                                                                
0133,08,ALIANZA COMPROMISO FEDERAL                                                                          
0135,08,ALIANZA CAMBIEMOS                                                                                   
0137,08,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,08,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,09,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,09,ALIANZA PROGRESISTAS                                                                                
0133,09,ALIANZA COMPROMISO FEDERAL                                                                          
0135,09,ALIANZA CAMBIEMOS                                                                                   
0137,09,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,09,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,10,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,10,ALIANZA PROGRESISTAS                                                                                
0133,10,ALIANZA COMPROMISO FEDERAL                                                                          
0135,10,ALIANZA CAMBIEMOS                                                                                   
0137,10,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,10,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,11,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,11,ALIANZA PROGRESISTAS                                                                                
0133,11,ALIANZA COMPROMISO FEDERAL                                                                          
0135,11,ALIANZA CAMBIEMOS                                                                                   
0137,11,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,11,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,12,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,12,ALIANZA PROGRESISTAS                                                                                
0133,12,ALIANZA COMPROMISO FEDERAL                                                                          
0135,12,ALIANZA CAMBIEMOS                                                                                   
0137,12,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,12,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,13,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,13,ALIANZA PROGRESISTAS                                                                                
0133,13,ALIANZA COMPROMISO FEDERAL                                                                          
0135,13,ALIANZA CAMBIEMOS                                                                                   
0137,13,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,13,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,14,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,14,ALIANZA PROGRESISTAS                                                                                
0133,14,ALIANZA COMPROMISO FEDERAL                                                                          
0135,14,ALIANZA CAMBIEMOS                                                                                   
0137,14,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,14,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,15,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,15,ALIANZA PROGRESISTAS                                                                                
0133,15,ALIANZA COMPROMISO FEDERAL                                                                          
0135,15,ALIANZA CAMBIEMOS                                                                                   
0137,15,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0138,15,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      
0131,16,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,16,ALIANZA PROGRESISTAS                                                                                
0133,16,ALIANZA COMPROMISO FEDERAL                                                                          
0135,16,ALIANZA CAMBIEMOS                                                                                   
0137,16,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
