parDenominacion,vot_parCodigo,vot_proCodigoProvincia
CONSENSO FEDERAL,00024,01
CONSENSO FEDERAL,00024,02
CONSENSO FEDERAL,00024,03
CONSENSO FEDERAL,00024,04
CONSENSO FEDERAL,00024,05
CONSENSO FEDERAL,00024,06
CONSENSO FEDERAL,00024,07
CONSENSO FEDERAL,00024,08
CONSENSO FEDERAL,00024,09
CONSENSO FEDERAL,00024,10
CONSENSO FEDERAL,00024,11
CONSENSO FEDERAL,00024,12
CONSENSO FEDERAL,00024,13
CONSENSO FEDERAL,00024,14
CONSENSO FEDERAL,00024,15
CONSENSO FEDERAL,00024,16
CONSENSO FEDERAL,00024,17
CONSENSO FEDERAL,00024,18
CONSENSO FEDERAL,00024,19
CONSENSO FEDERAL,00024,20
CONSENSO FEDERAL,00024,21
CONSENSO FEDERAL,00024,22
CONSENSO FEDERAL,00024,23
CONSENSO FEDERAL,00024,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,02
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,04
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,05
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,06
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,07
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,08
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,09
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,16
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,17
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,19
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,20
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,21
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,22
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,23
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,24
FRENTE DE TODOS,00037,01
FRENTE DE TODOS,00037,02
FRENTE DE TODOS,00037,03
FRENTE DE TODOS,00037,04
FRENTE DE TODOS,00037,05
FRENTE DE TODOS,00037,06
FRENTE DE TODOS,00037,07
FRENTE DE TODOS,00037,08
FRENTE DE TODOS,00037,09
FRENTE DE TODOS,00037,10
FRENTE DE TODOS,00037,11
FRENTE DE TODOS,00037,12
FRENTE DE TODOS,00037,13
FRENTE DE TODOS,00037,14
FRENTE DE TODOS,00037,15
FRENTE DE TODOS,00037,16
FRENTE DE TODOS,00037,17
FRENTE DE TODOS,00037,18
FRENTE DE TODOS,00037,19
FRENTE DE TODOS,00037,20
FRENTE DE TODOS,00037,21
FRENTE DE TODOS,00037,22
FRENTE DE TODOS,00037,23
FRENTE DE TODOS,00037,24
FRENTE NOS,00039,01
FRENTE NOS,00039,02
FRENTE NOS,00039,03
FRENTE NOS,00039,04
FRENTE NOS,00039,05
FRENTE NOS,00039,06
FRENTE NOS,00039,07
FRENTE NOS,00039,08
FRENTE NOS,00039,09
FRENTE NOS,00039,10
FRENTE NOS,00039,11
FRENTE NOS,00039,12
FRENTE NOS,00039,13
FRENTE NOS,00039,14
FRENTE NOS,00039,15
FRENTE NOS,00039,16
FRENTE NOS,00039,17
FRENTE NOS,00039,18
FRENTE NOS,00039,19
FRENTE NOS,00039,20
FRENTE NOS,00039,21
FRENTE NOS,00039,22
FRENTE NOS,00039,23
FRENTE NOS,00039,24
FRENTE PATRIOTA,00040,01
FRENTE PATRIOTA,00040,02
FRENTE PATRIOTA,00040,03
FRENTE PATRIOTA,00040,04
FRENTE PATRIOTA,00040,05
FRENTE PATRIOTA,00040,06
FRENTE PATRIOTA,00040,07
FRENTE PATRIOTA,00040,08
FRENTE PATRIOTA,00040,09
FRENTE PATRIOTA,00040,10
FRENTE PATRIOTA,00040,11
FRENTE PATRIOTA,00040,12
FRENTE PATRIOTA,00040,13
FRENTE PATRIOTA,00040,14
FRENTE PATRIOTA,00040,15
FRENTE PATRIOTA,00040,16
FRENTE PATRIOTA,00040,17
FRENTE PATRIOTA,00040,18
FRENTE PATRIOTA,00040,19
FRENTE PATRIOTA,00040,20
FRENTE PATRIOTA,00040,21
FRENTE PATRIOTA,00040,22
FRENTE PATRIOTA,00040,23
FRENTE PATRIOTA,00040,24
JUNTOS POR EL CAMBIO,00050,01
JUNTOS POR EL CAMBIO,00050,02
JUNTOS POR EL CAMBIO,00050,03
JUNTOS POR EL CAMBIO,00050,04
JUNTOS POR EL CAMBIO,00050,05
JUNTOS POR EL CAMBIO,00050,06
JUNTOS POR EL CAMBIO,00050,07
JUNTOS POR EL CAMBIO,00050,08
JUNTOS POR EL CAMBIO,00050,09
JUNTOS POR EL CAMBIO,00050,10
JUNTOS POR EL CAMBIO,00050,11
JUNTOS POR EL CAMBIO,00050,12
JUNTOS POR EL CAMBIO,00050,13
JUNTOS POR EL CAMBIO,00050,14
JUNTOS POR EL CAMBIO,00050,15
JUNTOS POR EL CAMBIO,00050,16
JUNTOS POR EL CAMBIO,00050,17
JUNTOS POR EL CAMBIO,00050,18
JUNTOS POR EL CAMBIO,00050,19
JUNTOS POR EL CAMBIO,00050,20
JUNTOS POR EL CAMBIO,00050,21
JUNTOS POR EL CAMBIO,00050,22
JUNTOS POR EL CAMBIO,00050,23
JUNTOS POR EL CAMBIO,00050,24
MOVIMIENTO AL SOCIALISMO,00058,01
MOVIMIENTO AL SOCIALISMO,00058,02
MOVIMIENTO AL SOCIALISMO,00058,03
MOVIMIENTO AL SOCIALISMO,00058,04
MOVIMIENTO AL SOCIALISMO,00058,05
MOVIMIENTO AL SOCIALISMO,00058,06
MOVIMIENTO AL SOCIALISMO,00058,07
MOVIMIENTO AL SOCIALISMO,00058,08
MOVIMIENTO AL SOCIALISMO,00058,09
MOVIMIENTO AL SOCIALISMO,00058,10
MOVIMIENTO AL SOCIALISMO,00058,11
MOVIMIENTO AL SOCIALISMO,00058,12
MOVIMIENTO AL SOCIALISMO,00058,13
MOVIMIENTO AL SOCIALISMO,00058,14
MOVIMIENTO AL SOCIALISMO,00058,15
MOVIMIENTO AL SOCIALISMO,00058,16
MOVIMIENTO AL SOCIALISMO,00058,17
MOVIMIENTO AL SOCIALISMO,00058,18
MOVIMIENTO AL SOCIALISMO,00058,19
MOVIMIENTO AL SOCIALISMO,00058,20
MOVIMIENTO AL SOCIALISMO,00058,21
MOVIMIENTO AL SOCIALISMO,00058,22
MOVIMIENTO AL SOCIALISMO,00058,23
MOVIMIENTO AL SOCIALISMO,00058,24
MOVIMIENTO DE ACCION VECINAL,00059,01
MOVIMIENTO DE ACCION VECINAL,00059,02
MOVIMIENTO DE ACCION VECINAL,00059,03
MOVIMIENTO DE ACCION VECINAL,00059,04
MOVIMIENTO DE ACCION VECINAL,00059,05
MOVIMIENTO DE ACCION VECINAL,00059,06
MOVIMIENTO DE ACCION VECINAL,00059,07
MOVIMIENTO DE ACCION VECINAL,00059,08
MOVIMIENTO DE ACCION VECINAL,00059,09
MOVIMIENTO DE ACCION VECINAL,00059,10
MOVIMIENTO DE ACCION VECINAL,00059,11
MOVIMIENTO DE ACCION VECINAL,00059,12
MOVIMIENTO DE ACCION VECINAL,00059,13
MOVIMIENTO DE ACCION VECINAL,00059,14
MOVIMIENTO DE ACCION VECINAL,00059,15
MOVIMIENTO DE ACCION VECINAL,00059,16
MOVIMIENTO DE ACCION VECINAL,00059,17
MOVIMIENTO DE ACCION VECINAL,00059,18
MOVIMIENTO DE ACCION VECINAL,00059,19
MOVIMIENTO DE ACCION VECINAL,00059,20
MOVIMIENTO DE ACCION VECINAL,00059,21
MOVIMIENTO DE ACCION VECINAL,00059,22
MOVIMIENTO DE ACCION VECINAL,00059,23
MOVIMIENTO DE ACCION VECINAL,00059,24
PARTIDO AUTONOMISTA,00072,01
PARTIDO AUTONOMISTA,00072,02
PARTIDO AUTONOMISTA,00072,03
PARTIDO AUTONOMISTA,00072,04
PARTIDO AUTONOMISTA,00072,05
PARTIDO AUTONOMISTA,00072,06
PARTIDO AUTONOMISTA,00072,07
PARTIDO AUTONOMISTA,00072,08
PARTIDO AUTONOMISTA,00072,09
PARTIDO AUTONOMISTA,00072,10
PARTIDO AUTONOMISTA,00072,11
PARTIDO AUTONOMISTA,00072,12
PARTIDO AUTONOMISTA,00072,13
PARTIDO AUTONOMISTA,00072,14
PARTIDO AUTONOMISTA,00072,15
PARTIDO AUTONOMISTA,00072,16
PARTIDO AUTONOMISTA,00072,17
PARTIDO AUTONOMISTA,00072,18
