vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0047,02,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    
0131,02,Alianza Frente para la Victoria                                                                     
0132,02,Alianza Frente Popular                                                                              
0133,02,Alianza Compromiso Federal                                                                          
0134,02,Alianza Frente Amplio Progresista                                                                   
0135,02,Alianza Frente de Izquierda y de los Trabajadores                                                   
0137,02,Alianza Unión para el Desarrollo Social                                                             
0003,09,Unión Cívica Radical                                                                                
0181,09,Acuerdo Republicano Federal                                                                         
0183,09,Fortaleza                                                                                           
0603,09,Alianza Frente para la Victoria                                                                     
0023,10,Unión Popular                                                                                       
0063,10,Es Posible                                                                                          
0131,10,Alianza Frente para la Victoria                                                                     
0134,10,Alianza Frente Amplio Progresista                                                                   
0135,10,Alianza Frente de Izquierda y de los Trabajadores                                                   
0137,10,Alianza Unión para el Desarrollo Social                                                             
0614,10,Alianza Frente Primero Jujuy                                                                        
0003,12,Unión Cívica Radical                                                                                
0055,12,Pro-Propuesta Republicana                                                                           
0605,12,Alianza Frente Popular Riojano                                                                      
0613,12,Alianza Frente para la Victoria Riojana                                                             
0003,14,Unión Cívica Radical                                                                                
0050,14,Partido Socialista                                                                                  
0603,14,Alianza Frente para la Victoria                                                                     
0615,14,Alianza Frente Renovador de la Concordia                                                            
0620,14,Alianza Frente Popular Unión Pro                                                                    
0621,14,Alianza Frente Compromiso Federal                                                                   
0003,18,Unión Cívica Radical                                                                                
0131,18,Alianza Frente para la Victoria                                                                     
0132,18,Alianza Frente Popular                                                                              
0133,18,Alianza Compromiso Federal                                                                          
0153,18,Cruzada Renovadora                                                                                  
0168,18,Partido Dignidad Ciudadana                                                                          
0003,19,Unión Cívica Radical                                                                                
0131,19,Alianza Frente para la Victoria                                                                     
0133,19,Alianza Compromiso Federal                                                                          
0003,20,Unión Cívica Radical                                                                                
0014,20,Partido Obrero                                                                                      
0047,20,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    
0050,20,Partido Socialista                                                                                  
0131,20,Alianza Frente para la Victoria                                                                     
0612,20,Alianza Frente Encuentro Sur                                                                        
