parDenominacion,vot_parCodigo,vot_proCodigoProvincia
ACCION CHAQUENA,00004,06
ALTERNATIVA RENOVADORA FEDERAL,00014,06
AUTODETERMINACION Y LIBERTAD,00016,01
CONSENSO FEDERAL,00024,01
CONSENSO FEDERAL,00024,06
CONSENSO FEDERAL,00024,15
DEMOCRATA CRISTIANO,00028,01
EL MOVIMIENTO,00029,01
FRENTE CIVICO POR SANTIAGO,00035,22
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,16
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00036,17
FRENTE DE TODOS,00037,01
FRENTE DE TODOS,00037,06
FRENTE DE TODOS,00037,08
FRENTE DE TODOS,00037,15
FRENTE DE TODOS,00037,16
FRENTE DE TODOS,00037,17
FRENTE DE TODOS,00037,22
FRENTE DE TODOS,00037,24
FRENTE RENOVADOR AUTENTICO,00041,01
GEN,00047,24
JUNTOS POR EL CAMBIO,00050,01
JUNTOS POR EL CAMBIO,00050,06
JUNTOS POR EL CAMBIO,00050,08
JUNTOS POR EL CAMBIO,00050,15
JUNTOS POR EL CAMBIO,00050,17
JUNTOS POR EL CAMBIO,00050,22
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,00052,24
JUNTOS SOMOS RIO NEGRO,00055,16
MOVIMIENTO AL SOCIALISMO,00058,01
MOVIMIENTO AL SOCIALISMO,00058,08
MOVIMIENTO AL SOCIALISMO,00058,15
MOVIMIENTO AL SOCIALISMO,00058,16
MOVIMIENTO DE JUBILADOS Y JUVENTUD,00061,01
MOVIMIENTO LIBRES DEL SUR,00063,22
MOVIMIENTO POPULAR NEUQUINO,00067,15
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,00068,22
NUEVA IZQUIERDA,00071,08
PARTIDO CIUDADANOS A GOBERNAR,00073,06
PARTIDO CONSERVADOR POPULAR,00074,17
PARTIDO DEL OBRERO,00075,06
PARTIDO DIGNIDAD POPULAR,00077,01
PARTIDO DIGNIDAD POPULAR,00077,22
PARTIDO OBRERO,00081,24
PARTIDO POPULAR,00082,22
PARTIDO PROYECTO SUR CHACO,00083,06
PARTIDO SOCIAL PATAGONICO,00086,24
PARTIDO SOCIALISTA,00087,08
UNION POR SALTA,00101,17
UNIR,00106,06
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00108,01
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00108,22
VAMOS TODOS A VIVIR MEJOR,00109,24
