vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0037,02,DEL CAMPO POPULAR                                                                                   
0047,02,COALICION CIVICA ARI                                                                                
0131,02,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,02,ALIANZA FRENTE POPULAR                                                                              
0133,02,ALIANZA COMPROMISO FEDERAL                                                                          
0134,02,ALIANZA FRENTE AMPLIO PROGRESISTA                                                                   
0135,02,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0136,02,ALIANZA PROYECTO SUR                                                                                
0137,02,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO                                                     
0267,02,FUERZA ORGANIZADA RENOVADORA DEMOCRATICA                                                            
0272,02,GENTE EN ACCION                                                                                     
0276,02,MOVIMIENTO AVANZADA SOCIALISTA                                                                      
0003,09,UNION CIVICA RADICAL                                                                                
0014,09,OBRERO                                                                                              
0036,09,AUTONOMISTA                                                                                         
0167,09,ACCION NATIVA                                                                                       
0181,09,ACUERDO REPUBLICANO FEDERAL                                                                         
0193,09,FORTALEZA                                                                                           
0501,09,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0023,10,UNION POPULAR                                                                                       
0063,10,ES POSIBLE                                                                                          
0068,10,NUEVA IZQUIERDA                                                                                     
0501,10,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0504,10,ALIANZA UNION PARA EL DESARROLLO SOCIAL                                                             
0510,10,FRENTE AMPLIO PROGRESISTA                                                                           
0517,10,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0525,10,FRENTE PRIMERO JUJUY                                                                                
0003,12,UNION CIVICA RADICAL                                                                                
0047,12,COALICION CIVICA ARI                                                                                
0061,12,IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 
0064,12,PRO-PROPUESTA REPUBLICANA                                                                           
0160,12,UNION POR LA RIOJA                                                                                  
0515,12,FRENTE POPULAR RIOJANO                                                                              
0523,12,FRENTE PARA LA VICTORIA RIOJANA                                                                     
0003,14,UNION CIVICA RADICAL                                                                                
0050,14,SOCIALISTA                                                                                          
0166,14,POR LA JUSTICIA SOCIAL                                                                              
0501,14,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0509,14,COMPROMISO FEDERAL                                                                                  
0526,14,FRENTE RENOVADOR DE LA CONCORDIA                                                                    
0530,14,FRENTE DE LA ESPERANZA                                                                              
0533,14,FRENTE UNION PRO                                                                                    
0003,18,UNION CIVICA RADICAL                                                                                
0061,18,IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 
0131,18,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0132,18,ALIANZA FRENTE POPULAR                                                                              
0133,18,ALIANZA COMPROMISO FEDERAL                                                                          
0153,18,CRUZADA RENOVADORA                                                                                  
0168,18,DIGNIDAD CIUDADANA                                                                                  
0003,19,UNION CIVICA RADICAL                                                                                
0038,19,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           
0050,19,SOCIALISTA                                                                                          
0183,19,DEMOCRATA INDEPENDIENTE                                                                             
0501,19,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0509,19,COMPROMISO FEDERAL                                                                                  
0003,20,UNION CIVICA RADICAL                                                                                
0014,20,OBRERO                                                                                              
0047,20,COALICION CIVICA ARI                                                                                
0050,20,SOCIALISTA                                                                                          
0522,20,FRENTE ENCUENTRO SUR                                                                                
