parDenominacion,vot_parCodigo,vot_proCodigoProvincia
ACCION CHAQUEÑA,00068,06
ALTERNATIVA RENOVADORA FEDERAL,00069,06
AUTODETERMINACION Y LIBERTAD,00007,01
CONSENSO FEDERAL,00001,01
CONSENSO FEDERAL,00001,06
CONSENSO FEDERAL,00001,15
CONSERVADOR POPULAR,00088,17
DEMOCRATA CRISTIANO,00003,01
EL MOVIMIENTO,00055,01
FRENTE CIVICO POR SANTIAGO,00095,22
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,16
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00008,17
FRENTE DE TODOS,00005,01
FRENTE DE TODOS,00005,06
FRENTE DE TODOS,00005,08
FRENTE DE TODOS,00005,15
FRENTE DE TODOS,00005,16
FRENTE DE TODOS,00005,17
FRENTE DE TODOS,00005,22
FRENTE DE TODOS,00005,24
FRENTE RENOVADOR AUTENTICO,00057,01
GEN,00100,24
JUNTOS POR EL CAMBIO,00009,01
JUNTOS POR EL CAMBIO,00009,06
JUNTOS POR EL CAMBIO,00009,08
JUNTOS POR EL CAMBIO,00009,15
JUNTOS POR EL CAMBIO,00009,17
JUNTOS POR EL CAMBIO,00009,22
JUNTOS POR EL CAMBIO,00009,24
JUNTOS SOMOS RIO NEGRO,00086,16
MOVIMIENTO AL SOCIALISMO,00002,01
MOVIMIENTO AL SOCIALISMO,00002,08
MOVIMIENTO AL SOCIALISMO,00002,15
MOVIMIENTO AL SOCIALISMO,00002,16
MOVIMIENTO DE JUBILADOS Y JUVENTUD,00056,01
MOVIMIENTO LIBRES DEL SUR,00094,22
MOVIMIENTO POPULAR NEUQUINO,00085,15
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,00079,22
NUEVA IZQUIERDA,00077,08
PARTIDO CIUDADANOS A GOBERNAR,00066,06
PARTIDO DEL OBRERO,00072,06
PARTIDO DIGNIDAD POPULAR,00006,01
PARTIDO DIGNIDAD POPULAR,00006,22
PARTIDO OBRERO,00097,24
PARTIDO POPULAR,00061,22
PARTIDO PROYECTO SUR CHACO,00070,06
PARTIDO SOCIAL PATAGONICO,00099,24
PARTIDO SOCIALISTA,00076,08
UNION POR SALTA,00087,17
UNIR,00071,06
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00004,01
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00004,22
VAMOS TODOS A VIVIR MEJOR,00098,24
