X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
2335,137 Período Ordinario - 3ª Sesión de Tablas - 3º Reunión,Expediente 719-D-19. Votación en general y particular.,2019,2019-04-24,23:14:00,Votos Emitidos,Más de la mitad,AFIRMATIVO,"MONZÓ, Emilio",147,110,0,143,3,NA,Expediente 719-D-19 de ley. Declárase como Capital Nacional del Turismo Astronómico a la provincia de San Juan.,NA,26.1.19
2334,137 Período Ordinario - 3ª Sesión de Tablas - 3º Reunión,Expediente 1259-D-2018 - O.D. 1052. Votación en general y particular.,2019,2019-04-24,23:04:00,Votos Emitidos,Más de la mitad,AFIRMATIVO,"MONZÓ, Emilio",153,104,0,152,0,NA,Expediente 1259-D-2018 de ley. Institúyase el 21 de mayo de cada año como «Día nacional del donate voluntario de plasma».,NA,26.1.18
2333,137 Período Ordinario - 3ª Sesión de Tablas - 3º Reunión,Expediente 3309-D-2018 - O.D. 1053 - Votación en General y Particular,2019,2019-04-24,23:00:00,Votos Emitidos,Más de la mitad,AFIRMATIVO,"MONZÓ, Emilio",152,105,0,151,0,NA,Expediente 3309-D-2018 de ley. Declárase el primero de abril de cada año como «Día Ncional del donante de médula ósea».,NA,26.1.17
2214,136 Período Ordinario - 2ª Sesión de Tablas - 2º Reunión,Simplificación y desburocratización para el desarrollo de la infraestructura,2018,2018-03-22,01:39:00,Votos Emitidos,Más de la mitad,AFIRMATIVO,"MONZÓ, Emilio",228,29,0,140,87,NA,Simplificación y desburocratización para el desarrollo de la infraestructura. Régimen. Dictamen de Mayoría. Expediente 6828-D-2017 - Orden del Día 23. De ley. (Ver expedientes),NA,25.1.0
2215,136 Período Ordinario - 2ª Sesión de Tablas - 2º Reunión,Simplificación y desburocratización para el desarrollo productivo de la nación,2018,2018-03-22,01:50:00,Votos Emitidos,Más de la mitad,AFIRMATIVO,"MONZÓ, Emilio",228,29,18,140,69,NA,Simplificación y desburocratización para el desarrollo productivo de la nación. Régimen. Dictamen de Mayoría. Expediente 6830-D-2017 - Orden del Día 22. De ley. (Ver expedientes),NA,25.1.1
2216,136 Período Ordinario - 2ª Sesión de Tablas - 2º Reunión,Simplificación y desburocratización de la administración pública nacional,2018,2018-03-22,02:16:00,Votos Emitidos,Más de la mitad,AFIRMATIVO,"MONZÓ, Emilio",227,30,24,139,63,NA,Simplificación y desburocratización de la administración pública nacional. Régimen. Dictamen de Mayoría. Expediente 6829-D-2017 - Orden del Día 24. De ley. (Ver expedientes),NA,25.1.2
2217,136 Período Ordinario - 2ª Sesión de Tablas - 2º Reunión,"Solicitud de Tratamiento sobre Tablas solicitado por el Diputado NEGRI, Mario Raúl",2018,2018-03-22,02:33:00,Votos Emitidos,Dos tercios,NEGATIVO,"MONZÓ, Emilio",213,44,1,131,80,NA,"Solicitud de Tratamiento sobre Tablas solicitado por el Diputado NEGRI, Mario Raúl - Solicitar a la Corte Suprema de Justicia de la Nación informe sobre escuchas telefónicas.",NA,25.1.3
2218,136 Período Ordinario - 3ª Sesión Especial - 4º Reunión,Habilitar el Tratamiento del Expediente 2133-D-2018. Votación.,2018,2018-04-25,13:03:00,Legisladores Presentes,Dos tercios,NEGATIVO,"MONZÓ, Emilio",239,18,0,132,106,NA,Habilitar el Tratamiento del Expediente 2133-D-2018. De Ley. Razonabilidad de las tarifas de Servicios Públicos.,NA,25.2.0
2219,136 Período Ordinario - 3ª Sesión Especial - 4º Reunión,Habilitar el Tratamiento del Expediente 2142-D-2018. Votación.,2018,2018-04-25,13:14:00,Legisladores Presentes,Dos tercios,NEGATIVO,"MONZÓ, Emilio",241,16,0,139,101,NA,Habilitar el Tratamiento del Expediente 2142-D-2018. De ley. Tarifas subsidiadas en épocas estivales. Régimen.,NA,25.2.1
2220,136 Período Ordinario - 3ª Sesión Especial - 4º Reunión,Habilitar el Tratamiento del Expediente 1818-D-2018. Votación.,2018,2018-04-25,13:20:00,Legisladores Presentes,Dos tercios,NEGATIVO,"MONZÓ, Emilio",236,22,0,134,100,NA,Habilitar el Tratamiento del Expediente 1818-D-2018. De ley. Criterios diferenciales para la equidad tarifaria federal,NA,25.2.2
