X1,X2,X3
1,A.R.I,#2ca02c
2,A.R.I Autónomo 8 +,#2ca02c
3,Acción Chaqueña,NA
4,Acción por la República,NA
5,Afirmación Peronista,NA
6,AL. H. T. E. (Socialista),NA
7,Alianza,NA
8,Alianza Acción Chaqueña,NA
9,Alianza Frente Alternatva Pampeana,NA
10,Autodeterminación y Libertad,NA
11,Autonomista de Corrientes,NA
12,Avanzar San Luis,NA
13,BG Juan B. Bustos,NA
14,Bloque de los Trabajadores,NA
15,Bloque GEN,NA
16,Bloque por la Verdad,NA
17,Bloque Social Patagónico,NA
18,Bloque Unipersonal,NA
19,"Bloque Unipersonal Cultura, Educación y Trabajo",NA
20,Bloquista de San Juan,NA
21,Bs. As. para Todos en Proyecto Sur,NA
22,Buenos Aires,NA
23,Buenos Aires por el Cambio,NA
24,Chubut Somos Todos,NA
25,Coalición Cívica,#2ca02c
26,Coalición Cívica - ARI,#2ca02c
27,Coalición Cívica - ARI - GEN - UPT,#2ca02c
28,Coalición Cívica - ARI - UNEN,#2ca02c
29,Compromiso con San Juan,NA
30,Compromiso Federal,#8A2908
31,Compromiso para el Cambio,NA
32,Concertación Entrerriana,NA
33,Concertación FORJA,NA
34,Consenso Federal,NA
35,Conservador Popular,NA
36,Convergencia,NA
37,Convergencia Federal,#8A2908
38,Córdoba Federal,NA
39,Corriente de Pensamiento Federal,NA
40,Corriente Grande,NA
41,Corriente Peronista Federal,NA
42,Cruzada Renovadora,NA
43,"Cultura, Educación y Trabajo",NA
44,De la Concertación,NA
45,Del Bicentenario,NA
46,Del Frente de la Concordia Misionero,#EDBB99
47,Democracia Igualitaria y Participativa,NA
48,Demócrata,NA
49,Demócrata Cristiano,NA
50,Demócrata Cristiano Federal,NA
51,Demócrata de Capital Federal,NA
52,Demócrata de Mendoza,NA
53,Demócrata Progresista,NA
54,Desarrollista,NA
55,Desarrollo y Justicia,NA
56,Diálogo por Buenos Aires,NA
57,Diálogo y Trabajo,NA
58,Dignidad Peronista,NA
59,Dignidad y Justicia,NA
60,El Chacho,NA
61,Emancipación y Justicia,NA
62,Encuentro,NA
63,Encuentro Popular,NA
64,Encuentro Popular y Social,NA
65,Eva Perón,NA
66,F.F.J. Azul y Blanco,NA
67,F.I.S.CA.L,NA
68,Fe,NA
69,Federal,NA
70,Federal Unidos por una Nueva Argentina,#0b615e
71,Frente Cívico - Córdoba,NA
72,Frente Cívico por Santiago,#4b088a
73,Frente Cívico Social,NA
74,Frente Cívico Tucumán,NA
75,Frente Cívico y Social,NA
76,Frente Cívico y Social de Catamarca,NA
77,Frente de Todos,#1f77b4
78,Frente de Unidad Provincial,NA
79,Frente del Movimiento Popular,#8A2908
80,Frente Grande,NA
81,Frente Justicia Unión y Libertad,#8A2908
82,Frente Norte,NA
83,Frente Nuevo Encuentro,#52ADCA
84,Frente para el Cambio,NA
85,Frente para la Victoria - Partido Bloqui,NA
86,Frente para la Victoria - PJ,#1f77b4
87,Frente Partido Nuevo,NA
88,Frente Peronista,#0b615e
89,Frente Peronista Federal,NA
90,Frente Polo Social,NA
91,Frente Popular Bonaerense,NA
92,Frente por la Inclusión Social,NA
93,Frente por los Derechos Ciudadanos,NA
94,Frente Producción y Trabajo,NA
95,Frente Prog. Cívico y Social,NA
96,Frente Proyecto Corrientes,NA
97,Frente Renovador,#0b615e
98,Frente Renovador de la Concordia Misiones,#EDBB99
99,Frente Renovador Peronista,NA
100,FREPASO,#CCCCFF
101,Fte. de Izquierda y de los Trabajadores,NA
102,Fuerza Porteña,NA
103,Fuerza Republicana,NA
104,GEN,NA
105,Guardia Peronista,NA
106,Independiente,NA
107,Intransigente,NA
108,Izquierda Socialista - Frente de Izquierda,NA
109,Izquierda Unida,NA
110,Juntos por Argentina,#086A87
111,Justicialismo Republicano,NA
112,Justicialista,#0101DF
113,Justicialista Nacional,NA
114,La Argentina de los Valores,NA
115,Liberal de Corrientes,NA
116,Libertad y Democracia,NA
117,"Libertad, Valores y Cambios",NA
118,Libres del Sur,#B40486
119,Linea Abierta,NA
120,lzquierda Unida,NA
121,M.M.T.A.,NA
122,Memoria y Democracia,NA
123,MO.RE.CI,NA
124,MODIN,NA
125,Mov. Azul y Blanco,NA
126,Mov. de Bases Independientes,NA
127,Mov. Integ. y Desarrollo,NA
128,Mov. Peronista,NA
129,Mov. Soc. Trabajadores,NA
130,Mov. Social Entrerriano,NA
131,Movimiento Cívico y Social,NA
132,Movimiento de Renovacion Civica,NA
133,Movimiento Independiente,NA
134,Movimiento Nacional Alfonsinista,NA
135,Movimiento Pampa Sur,NA
136,Movimiento Popular Fueguino,NA
137,Movimiento Popular Jujeño,NA
138,Movimiento Popular Neuquino,NA
139,Movimiento Proyecto Sur,NA
140,Movimiento Solidario Popular,NA
141,Nacional Sindical,NA
142,No Integra Bloque,NA
143,Nucleo Unidad Peronista,NA
144,Nuevo Encuentro,#52ADCA
145,Nuevo Encuentro Popular y Solidario,NA
146,Nuevo Espacio Entrerriano,NA
147,P.A.I.S.,NA
148,Part. Prov. San Luis,NA
149,Participación Ciudadana,NA
150,Participación y Justicia,NA
151,Partido Blanco,NA
152,Partido Comunista,NA
153,Partido Conservador Popular,NA
154,Partido de la Concertación - FORJA,NA
155,Partido de la Revolución Democrática,NA
156,Partido Demócrata por la Capital Federal,NA
157,Partido Demócrata Progresista,NA
158,Partido Federal,NA
159,Partido Federal Fueguino,NA
160,Partido Intransigente,NA
161,Partido Justicialista La Pampa,NA
162,Partido Liberal de Corrientes,NA
163,Partido Nuevo,NA
164,Partido Nuevo Contra la Corrupción,NA
165,Partido Socialista,#fa58f4
166,Partido Socialista Popular,NA
167,Partido Unidad Federalista,NA
168,Peronismo Federal,#0b615e
169,Peronismo Jujeño,NA
170,Peronismo mas al Sur,NA
171,Peronismo para la Victoria,#2E9AFE
172,Peronismo Peronista,NA
173,Peronismo Popular,NA
174,Peronista,NA
175,Peronista Córdoba Ciudadana,NA
176,Peronista Federal,#0b615e
177,Peronista Salteño,NA
178,Polo Social,NA
179,Primero Tucumán,NA
180,PRO,#e7ba52
181,Propuesta Peronista,NA
182,Propuesta Republicana,#e7ba52
183,Proyecto Corrientes,NA
184,Proyecto Progresista,NA
185,Proyecto Social Alternativo,NA
186,Proyecto Sur,NA
187,Proyecto Sur - UNEN,NA
188,PTS - Frente de Izquierda,NA
189,Recrear,NA
190,Recrear -- Tucumán,NA
191,Recrear para el Crecimiento,NA
192,Red de Encuentro Social,NA
193,Renovador de Salta,NA
194,Renovador Social Cristiano,NA
195,Republicano Democrático,NA
196,Ricardo Balbin,NA
197,Salta Somos Todos,NA
198,Santa Fe en Movimiento,NA
199,Santa Fe Federal,NA
200,SI por la Unidad Popular,NA
201,Soberania Popular,NA
202,Social Cristiano,NA
203,Socialismo Popular,NA
204,Socialista del MIJD,NA
205,Solidaridad e Igualdad (SI),NA
206,Solidaridad e Igualdad (SI) - ARI (T.D.F),NA
207,Solidaridad e Igualdad (SI) - Proyecto P,NA
208,Solidario SI,NA
209,SUMA + UNEN,#F26136
210,Trabajo y Dignidad,NA
211,U. Ce. De.,NA
212,U. Socialista,NA
213,U.B.,NA
214,U.De.So.,#F26136
215,U.De.So. Salta,#F26136
216,Unidad Bonaerense,NA
217,Unidad Federalista,NA
218,Unidad para el Desarrollo Social y la Equidad,NA
219,Unidad Popular,NA
220,Unidos por una Nueva Argentina,#000000
221,Unión Celeste y Blanca,NA
222,Unión Celeste y Blanco,NA
223,Unión Centro Democrático,NA
224,Union Cívica Radical,NA
225,Unión Cívica Radical,#d62728
226,Unión Peronista,#0b615e
227,Unión por Argentina,NA
228,Unión por Córdoba,NA
229,Unión por Entre Ríos,NA
230,Unión por San Juan,NA
231,Unión por Todos,NA
232,Unión PRO,#e7ba52
233,UNIR,NA
234,Valores para mi País,NA
235,Vida y Compromiso,NA
460,Córdoba Trabajo y Producción,NA
461,Elijo Catamarca,NA
462,Evolución Radical,#F26136
463,Justicialista por Tucumán,NA
464,Nuevo Espacio Santafesino,NA
465,Partido Intransigente de Mendoza,NA
466,Partido por la Justicia Social,NA
467,Primero Argentina,NA
468,Somos Mendoza,NA
469,Somos San Juan,NA
470,Todos Juntos por San Juan,NA
471,Frente de la Concordia Misionero,#EDBB99
472,Frente Nueva Dirigencia,NA
473,Politica Abierta,NA
474,Unidad Justicialista,#bf5b17
0,Presidente,NA
475,Protectora,NA
476,Red por Argentina,#154360
477,Movimiento Evita,#2E9AFE
478,Somos,NA
479,Córdoba Federal,NA
480,Izquierda Socialista - FIT,NA
481,Juntos Somos Río Negro,NA
482,Partido Propuesta Salteña,NA
483,Unidad y Equidad Federal,NA
484,Acción Federal,NA
