"1","#, Legislador a Designar","Buenos Aires",,
"2","#, Legislador a Designar","Cdad.Aut.Bs.As.",,
"3","#, Legislador a Designar","Chubut",,
"4","#, Legislador a Designar","Córdoba",,
"5","#, Legislador a Designar","San Juan",,
"6","#, Legislador a Designar","San Luis",,
"7","#, Legislador a Designar","Santa Cruz",,
"8","#, Legislador a Designar","Santa Fe",,
"9","#, Legislador a Designar","Santiago del Estero",,
"10","#, Legislador a Designar","Tucumán",,
"11","ABALOS, Roberto","Santiago del Estero","#CCFFFF",
"12","ABALOVICH, Eduardo Antonio","Santiago del Estero","#CCFFFF",
"13","ABAN, Gloria del S.","Salta","#FFCCCC",
"14","ABASTO, Angel Leonidas","Buenos Aires","#CCFFFF",
"15","ABDALA de MATARAZZO, Norma Amanda","Santiago del Estero","#FFCCCC","A4759.jpg"
"16","ABDALA, Germán Darío","Cdad.Aut.Bs.As.","#CCFFFF",
"17","ABDALA, Josefina","Mendoza","#FFCCCC","A4313.jpg"
"18","ABELLA, Miguel Angel","Córdoba","#CCFFFF",
"19","ABIHAGGLE, Carlos Enrique","Mendoza","#CCFFFF",
"20","ABRAHAM, Alejandro","Mendoza","#CCFFFF","A50842.jpg"
"21","ACCASTELLO, Eduardo","Córdoba","#CCFFFF","A4484.jpg"
"22","ACCAVALLO, Julio César","Rio Negro","#CCFFFF","A4069.jpg"
"23","ACEÑOLAZA, Florencio G.","Tucumán","#CCFFFF",
"24","ACERENZA, Samanta María Celeste","Buenos Aires","#FFCCCC","A50902.jpg"
"25","ACEVEDO, Sergio Edgardo","Santa Cruz","#CCFFFF",
"26","ACHEM, Antonio","San Juan","#CCFFFF",
"27","ACOSTA de AHUMADA, María Julia","Catamarca","#FFCCCC","A4590.jpg"
"28","ACUÑA KUNZ, Juan","Santa Cruz","#CCFFFF","A4529.jpg"
"29","ACUÑA, Hugo Rodolfo","Neuquén","#CCFFFF","A4568.jpg"
"30","ADAIME, Felipe Teófilo","Corrientes","#CCFFFF",
"31","AGOSTO, Walter","Santa Fe","#CCFFFF","A4662.jpg"
"32","AGUAD, Oscar Raúl","Córdoba","#CCFFFF","A4491.jpg"
"33","AGUADO, Jorge Ruben","Buenos Aires","#CCFFFF",
"34","AGUERO, Elda Susana","Buenos Aires","#FFCCCC","A4285.jpg"
"35","AGUILAR, Lino Walter","San Luis","#CCFFFF","A50748.jpg"
"36","AGUIRRE de SORIA, Hilda Clelia","La Rioja","#FFCCCC","A4608.jpg"
"37","AGUIRRE, Orlando Raul","Formosa","#CCFFFF",
"38","AGUNDEZ, Jorge Alfreso","San Luis","#CCFFFF",
"39","ALABI, Ernesto","Salta","#CCFFFF",
"40","ALARCIA, Martha Carmen","Córdoba","#FFCCCC",
"41","ALARCON, María del Carmen","Santa Fe","#FFCCCC","A2096.jpg"
"42","ALBAMONTE, Alberto Gustavo","Buenos Aires","#CCFFFF",
"43","ALBARRACIN, Jorge Luis","Mendoza","#CCFFFF","A50775.jpg"
"44","ALBERTI, Juan Carlos","Buenos Aires","#CCFFFF",
"45","ALBORNOZ, Gabriela Romina","Jujuy","#FFCCCC","A51010.jpg"
"46","ALBRIEU, Oscar Edmundo Nicolas","Rio Negro","#CCFFFF","A4743.jpg"
"47","ALBRISI, César Alfredo","Córdoba","#CCFFFF","A1429.jpg"
"48","ALCALA, Nestor Ricardo","La Pampa","#CCFFFF",
"49","ALCHOURON, Guillermo Eduardo","Buenos Aires","#CCFFFF","A2515.jpg"
"50","ALCUAZ, Horacio Alberto","Buenos Aires","#CCFFFF","A4637.jpg"
"51","ALEGRE, Gilberto Oscar","Buenos Aires","#CCFFFF","A50782.jpg"
"52","ALENDE, Oscar Eduardo","Buenos Aires","#CCFFFF",
"53","ALESANDRI, Carlos Tomas","Córdoba","#CCFFFF",
"54","ALESSANDRO, Dario Pedro","Cdad.Aut.Bs.As.","#CCFFFF",
"55","ALFARO, Germán Enrique","Tucumán","#CCFFFF","A4591.jpg"
"56","ALFONSIN, Ricardo Luis","Buenos Aires","#CCFFFF","A4775.jpg"
"57","ALGABA, Ernesto Pedro","Santa Fe","#CCFFFF",
"58","ALIZEGUI, Antonio Anibal","Entre Ríos","#CCFFFF","A4828.jpg"
"59","ALLENDE IRIARTE, Alberto","Cdad.Aut.Bs.As.","#CCFFFF",
"60","ALLENDE, Alfredo Estanislao","Buenos Aires","#CCFFFF",
"61","ALONSO, Gumersindo Federico","Córdoba","#CCFFFF","A4315.jpg"
"62","ALONSO, Horacio Fernando","Buenos Aires","#CCFFFF","A51002.jpg"
"63","ALONSO, Laura","Cdad.Aut.Bs.As.","#FFCCCC","A4732.jpg"
"64","ALONSO, María Luz","La Pampa","#FFCCCC","A50729.jpg"
"65","ALSOGARAY, Albaro Carlos","Cdad.Aut.Bs.As.","#CCFFFF",
"66","ALTERACH, Miguel Angel","Misiones","#CCFFFF",
"67","ALVAREZ ECHAGUE, Raul A.","Buenos Aires","#CCFFFF",
"68","ALVAREZ GARCIA, Normando","Jujuy","#CCFFFF",
"69","ALVAREZ RODRIGUEZ, Cristina","Buenos Aires","#FFCCCC","A50892.jpg"
"70","ALVAREZ, Carlos Alberto","Cdad.Aut.Bs.As.","#CCFFFF",
"71","ALVAREZ, Carlos Raúl","Buenos Aires","#CCFFFF",
"72","ALVAREZ, Elsa María","Santa Cruz","#FFCCCC","A4762.jpg"
"73","ALVAREZ, Hector Claudio","Misiones","#CCFFFF",
"74","ALVAREZ, Jorge Mario","Santa Fe","#CCFFFF","A4740.jpg"
"75","ALVAREZ, Juan José","Buenos Aires","#CCFFFF","A4316.jpg"
"76","ALVAREZ, Roque Tobías","Tucumán","#CCFFFF","A4071.jpg"
"77","ALVARO, Héctor Jorge","Mendoza","#CCFFFF","A4628.jpg"
"78","AMADEO, Eduardo Pablo","Buenos Aires","#CCFFFF","A4812.jpg"
"79","AMENTA, Marcelo Eduardo","Buenos Aires","#CCFFFF","A4703.jpg"
"80","AMSTUTZ, Guillermo","Mendoza","#CCFFFF","A4072.jpg"
"81","ANAUATE, Carlos Alfredo","Santiago del Estero","#CCFFFF","A4579.jpg"
"82","ANCARANI, Hilda Norma","Buenos Aires","#FFCCCC",
"83","ANTELO, José María","Santa Fe","#CCFFFF",
"84","ARAGON, Santiago","Buenos Aires","#CCFFFF",
"85","ARAGONES de JUAREZ, Mercedes","Santiago del Estero","#FFCCCC",
"86","ARAMBURU, Guillermo Raul","Santa Fe","#CCFFFF",
"87","ARANDA, Saturnino Dantti","Santa Fe","#CCFFFF",
"88","ARBO, José Ameghino","Corrientes","#CCFFFF","A4607.jpg"
"89","ARDID, Mario Rolando","Córdoba","#CCFFFF","A4576.jpg"
"90","ARENA, Celia Isabel","Santa Fe","#FFCCCC","A4827.jpg"
"91","ARENAS, Berta Hortensia","San Luis","#FFCCCC","A50859.jpg"
"92","ARETA, María Josefa","Corrientes","#FFCCCC","A4673.jpg"
"93","ARGÜELLO, Jorge","Cdad.Aut.Bs.As.","#CCFFFF","A4317.jpg"
"94","ARGÜELLO, Octavio","Buenos Aires","#CCFFFF","A4693.jpg"
"95","ARGUL, Marta del Carmen","Jujuy","#FFCCCC",
"96","ARGUMEDO, Alcira Susana","Cdad.Aut.Bs.As.","#FFCCCC","A4808.jpg"
"97","ARIAS, Cesar","Buenos Aires","#CCFFFF",
"98","ARMENDARIZ, Alejandro","Buenos Aires","#CCFFFF",
"99","ARNALDI, Monica Susana","Buenos Aires","#FFCCCC",
"100","ARNOLD, Eduardo Ariel","Santa Cruz","#CCFFFF","A4318.jpg"
"101","ARRECHEA, José Salvador","Chubut","#CCFFFF",
"102","ARREGUI, Andrés Roberto","Buenos Aires","#CCFFFF","A50676.jpg"
"103","ARRIAGA, Julio Esteban","Rio Negro","#CCFFFF","A4518.jpg"
"104","ARRIETA, Gustavo Héctor","Buenos Aires","#CCFFFF","A50986.jpg"
"105","ARTOLA, Isabel Amanda","Buenos Aires","#FFCCCC","A4319.jpg"
"106","ASEF, Daniel Edgardo","Córdoba","#CCFFFF","A4834.jpg"
"107","ASPIAZU, Lucio Bernardo","Corrientes","#CCFFFF","A4745.jpg"
"108","ASSEFF, Alberto Emilio","Buenos Aires","#CCFFFF","A50693.jpg"
"109","ATANASOF, Alfredo Néstor","Buenos Aires","#CCFFFF","A1795.jpg"
"110","AUBIA, Jorge Eduardo","Chubut","#CCFFFF",
"111","AUGSBURGER, Silvia","Santa Fe","#FFCCCC","A4531.jpg"
"112","AUSTIN, Brenda Lis","Córdoba","#FFCCCC","A51025.jpg"
"113","AVALOS ROBLES, Edmundo Eduardo","Tucumán","#CCFFFF",
"114","AVELIN de GINESTAR, Nancy B.","San Juan","#FFCCCC",
"115","AVILA, Eduardo Carlos","Santiago del Estero","#CCFFFF",
"116","AVOSCAN, Herman Horacio","Rio Negro","#CCFFFF","A50743.jpg"
"117","AYALA, Juan Carlos","Chaco","#CCFFFF",
"118","AYALA, Susana Beatriz","Chaco","#FFCCCC",
"119","AYETZ, Liliana","Buenos Aires","#FFCCCC",
"120","AZCOITI, Pedro José","Buenos Aires","#CCFFFF","A4461.jpg"
"121","BAGLINI, Raúl Eduardo","Mendoza","#CCFFFF",
"122","BAIGORRI, Guillermo Francisco","San Juan","#CCFFFF","A4320.jpg"
"123","BAIGORRIA, Miguel Angel","Tierra del Fuego","#CCFFFF","A4075.jpg"
"124","BALADRON, Manuel Justo","La Pampa","#CCFFFF","A3059.jpg"
"125","BALBO, Elva Susana","Mendoza","#FFCCCC","A50951.jpg"
"126","BALCEDO, María Ester","Buenos Aires","#FFCCCC","A50684.jpg"
"127","BALDASSI, Héctor Walter","Córdoba","#CCFFFF","A50820.jpg"
"128","BALDATA, Griselda Angela","Córdoba","#FFCCCC","A4630.jpg"
"129","BALESTRA, René Helvecio","Santa Fe","#CCFFFF",
"130","BALESTRINI, Alberto","Buenos Aires","#CCFFFF","A4437.jpg"
"131","BALESTRINI, Miguel Alberto","Córdoba","#CCFFFF",
"132","BALIAN, Alejandro","Córdoba","#CCFFFF",
"133","BALTER, Carlos Mario","Mendoza","#CCFFFF",
