X1,X2,X3,X4,X5
1,"ABRAMETO, Jacobo Alberto",Río Negro,#CCFFFF,NA
2,"AGUILAR, Eduardo Alberto",Chaco,#CCFFFF,NA
3,"AGUIRRE, Hilda Clelia",La Rioja,#FFCCCC,NA
4,"AGUNDEZ, Jorge Alfredo",San Luis,#CCFFFF,NA
5,"ARANCIO DE BELLER, Mónica",Jujuy,#FFCCCC,NA
6,"ARTAZA, Eugenio Justiniano",Corrientes,#CCFFFF,NA
7,"AVELÍN, Nancy Barbarita",San Juan,#FFCCCC,NA
8,"BANICEVICH, Jorge Esteban",Santa Cruz,#CCFFFF,NA
9,"BAR, Graciela Yolanda",Entre Ríos,#FFCCCC,NA
10,"BARRIONUEVO, Walter Basilio",Jujuy,#CCFFFF,NA
11,"BASUALDO, Roberto Gustavo",San Juan,#CCFFFF,362.gif
12,"BERMEJO, Rolando Adolfo",Mendoza,#CCFFFF,NA
13,"BERTONE, Rosana Andrea",Tierra del Fuego,#FFCCCC,NA
14,"BIANCALANI, Fabio Darío",Chaco,#CCFFFF,NA
15,"BLAS, Inés Imelda",Catamarca,#FFCCCC,427.gif
16,"BONGIORNO, María José",Río Negro,#FFCCCC,NA
17,"BORELLO, Marta Teresita",Córdoba,#FFCCCC,NA
18,"BORTOLOZZI, Adriana Raquel",Formosa,#FFCCCC,NA
19,"BUSSI, Ricardo Argentino",Tucumán,#CCFFFF,NA
20,"CABANCHIK, Samuel Manuel",Ciudad Autónoma de Buenos Aires,#CCFFFF,NA
21,"CABRAL, Salvador",Misiones,#CCFFFF,NA
22,"CAFIERO, Antonio Francisco",Buenos Aires,#CCFFFF,NA
23,"CALCAGNO Y MAILLMAN, Eric",Buenos Aires,#CCFFFF,NA
24,"CANO, José Manuel",Tucumán,#CCFFFF,NA
25,"CAPARROS, Mabel Luisa",Tierra del Fuego,#FFCCCC,NA
26,"CAPITANICH, Jorge Milton",Chaco,#CCFFFF,NA
27,"CAPOS, Liliana Delia",Tierra del Fuego,#FFCCCC,NA
